stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,39.43,2.63,0,152.47,0,0,0,0,0,0,0,0,0
 10-12,6.29,25.18,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,201.41,3.15,0,569.6,0,0,50.35,0,6.29,0,0,0,0
 14-21,0,0,72,23,2,0,1,0,26,19,0,0,0,0,24,0,0,9,36,23,0,131,3,267,6,0,120,311,2,0,0
 24-34,0,0,1.64,2.46,0.82,0,0.82,2.46,14.78,0,0,0,0,0,1.64,0,0,9.03,15.6,1.64,0,0,0.82,0.82,0,0,20.52,115.74,4.1,0,0
 36-46,0,0,0.81,0,0,0,0.81,1.61,2.42,0,0,0,0,0,8.06,0.81,0,7.25,6.45,0.81,0,0,0.81,0,0,0,0,99.9,1.61,0,1.61
 48-58,0,0,0,0,1.15,0,0.57,2.3,4.02,0,0,0,0,0.57,7.46,0,1.15,8.61,10.9,0,0,0,0.57,0,0,0.57,0,88.37,2.3,0,0.57
 60-70,0,0,0,0,1.96,0,0,1.96,4.91,0,0,0,0,0,8.83,0,1.96,2.94,6.87,0,0,0,3.93,0,0,0,0,75.58,0.98,0.98,0
 72-82,0,0,0,0,0.98,0,0,0.98,7.85,1.96,0,0,0,0,10.8,0,1.96,6.87,5.89,0.98,0,0,0.98,0,0,0,0,22.58,4.91,0.98,0
 84-94,0,0,1.06,0,1.06,0,1.06,0,2.12,0,0,0,0,0,4.25,0,0,3.19,4.25,1.06,0,0,9.56,0,0,0,0,15.93,4.25,3.19,0
 96-106,0,0,0,0,0,0,0,1.09,3.28,1.09,0,0,1.09,0,9.84,0,1.09,3.28,5.46,0,0,0,3.28,0,0,0,0,5.46,5.46,1.09,0
108-118,0,0,2.3,0.77,0.77,0,0.77,0,6.89,2.3,0,0.77,0,0,3.06,0,0.77,2.3,0.77,0,0,0,4.6,0,0,0,0,3.06,2.3,0,0
120,0,0,0,0,1.96,1.96,1.96,0,1.96,1.96,0,0,0,0,0,0,1.96,1.96,5.88,0,1.96,0,1.96,0,0,0,0,1.96,1.96,0,0
