stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,1,11,218,27,0,32,0,1,0,3,3,13,0,0,6,0,1,0,0,19,0,0,15,283,2,4,14,15,13,1,48,2,1,38,65,0,0,0,0,0
 24-34,0,0.82,0,15.6,0.82,0,12.31,0,0,0,2.46,3.28,0.82,0,0,3.28,0,0,1.64,0,13.95,1.64,0,6.57,72.24,0.82,2.46,3.28,0,9.85,0,0,0.82,0.82,2.46,13.13,0,0,0.82,0,0.82
 36-46,0,0,0,7.25,0.81,0,10.47,0.81,1.61,0,2.42,0.81,0.81,0,0,1.61,0,0,0,0,8.86,0.81,0.81,2.42,45.12,0,4.03,1.61,0,4.83,0,0,0,0,0,11.28,0,0,0,0,0
 48-58,0,0,0,5.74,0,0,13.2,0,1.72,0,6.89,0,0,0,0,0.57,1.15,1.15,0,0.57,5.74,0,0,2.87,21.23,0,1.15,0.57,0,4.02,0,0,0.57,0,0,2.3,0,0,1.15,0,0
 60-70,0,0,0,9.82,0,0,20.61,0,0,0.98,9.82,0,0.98,0,1.96,0,2.94,1.96,0,1.96,4.91,0,0.98,1.96,14.72,0,1.96,0,0,11.78,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,14.72,3.93,0,8.83,0,0.98,1.96,16.69,5.89,0,0,0,5.89,9.82,0.98,0,0.98,23.56,1.96,0,4.91,30.43,0,1.96,0.98,0,13.74,0,0,0.98,0,0,3.93,0,0,1.96,0.98,2.94
 84-94,0,0,0,35.05,1.06,1.06,10.62,0,4.25,1.06,11.68,2.12,1.06,1.06,1.06,8.5,1.06,1.06,1.06,1.06,6.37,2.12,1.06,3.19,12.74,0,6.37,5.31,0,38.23,0,0,1.06,0,0,3.19,1.06,0,0,0,2.12
 96-106,0,0,0,48.09,3.28,0,10.93,0,4.37,1.09,14.21,3.28,0,0,4.37,5.46,10.93,1.09,0,1.09,13.11,1.09,0,2.19,16.39,0,8.74,6.56,0,57.92,0,0,1.09,0,0,0,0,1.09,0,0,0
108-118,0,0.77,0,134.81,0.77,1.53,12.26,0,17.62,1.53,15.32,6.13,0,1.53,4.6,11.49,16.85,1.53,0,3.06,24.51,0.77,0,3.06,23.74,0.77,4.6,6.89,0,85.79,0,0,2.3,0.77,0,0.77,3.06,0.77,3.06,0.77,3.83
120,0,0,0,88.19,3.92,0,3.92,0,17.64,1.96,5.88,1.96,0,0,3.92,7.84,15.68,1.96,1.96,1.96,7.84,1.96,0,1.96,17.64,0,0,0,0,45.08,0,0,0,0,0,0,0,0,0,0,0
