stage,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,xanthophores
 14-21,0,0,2,4,0,2,0,0,0,0,0,0,4,0,25,3,0,0,2,0,3,1,1,11,0,0,0
 24-34,0,4.93,1.64,6.57,0.82,2.46,0.82,0,0.82,0,0,0,1.64,0,13.13,0,0,0,0,0,0,0,0,3.28,0,0,0
 36-46,0,0.81,0.81,2.42,0,0.81,0,0,0,0,0,0,1.61,0,6.45,0.81,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,2.3,0.57,0,0,0,0,0,0,0,1.15,0,8.61,0,0,0,0,0,0,0,0,1.15,0,0,0.57
 60-70,0.98,0,0,8.83,18.65,0.98,0,0,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,15.71,0,0,15.71,38.28,34.36,0,0,0,0,0,0,3.93,0,15.71,0,0,0,0,0,0,0,0,0,0,0.98,0
 84-94,8.5,0,1.06,5.31,13.81,57.35,0,0,0,0,0,0,0,1.06,6.37,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,3.28,0,1.09,18.58,40.44,111.47,0,1.09,0,0,1.09,1.09,2.19,0,21.86,1.09,1.09,1.09,0,2.19,0,0,0,0,0,0,0
108-118,12.26,0,0,10.72,16.85,163.92,0,0,0,0.77,0,0.77,1.53,0,13.02,0,0,0,0,1.53,0,0,0,0,0.77,0,0
120,11.76,0,0,5.88,15.68,178.34,0,1.96,0,0,0,0,1.96,0,15.68,0,0,0,0,0,0,0,0,1.96,0,0,0
