stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,glial,iridophores,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,3.15,0,3.15,0
 14-21,0,0,0,0,0,1,3,0,0,0,0,13,0,0,1,99,0
 24-34,0,0,0,0,0,0,3.28,0,0.82,0,0.82,20.52,0,0,0,132.16,0
 36-46,0,0,0.81,0,0,6.45,1.61,0,0,0,0,22.56,0,0,0,168.38,0
 48-58,0,0,0,0,0,17.79,9.18,0,0.57,0.57,0.57,10.9,0,0,0,118.78,0
 60-70,0,0,0,0,0,9.82,4.91,0,0.98,2.94,0,8.83,0,0,0,69.69,0
 72-82,0,0,0,0.98,2.94,8.83,4.91,0,0,1.96,0,4.91,0,0,0,36.32,0.98
 84-94,0,1.06,0,1.06,6.37,4.25,3.19,0,1.06,0,0,7.43,0,0,0,22.3,0
 96-106,0,0,0,0,13.11,4.37,0,0,0,0,0,1.09,0,0,0,13.11,0
108-118,0,0,0,0,68.94,0.77,1.53,0.77,3.06,0,0,5.36,0,0,0,1.53,0
120,0,0,0,0,11.76,0,0,0,0,0,0,7.84,0,0,0,1.96,0
