stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature
  3-4,26.36,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,12.26,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,7.89,0,0,7.89,0,0,0,0,0,0,0,0,57.83,2.63,0,0,10.51,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,1,4,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0,0,0.82,0,0,18.88,0,0,0,0,0.82,0,0.82,0.82,0.82
 36-46,0,0,0,0,0,0,0.81,0,0.81,0,0,0.81,0.81,0,0,16.11,0,0.81,0,0,0.81,0,0,4.03,0.81
 48-58,0,0,0,0,0,0,4.02,0,0.57,0,0,0,0.57,0.57,1.15,17.79,0,0,0,0,0,0,0,3.44,0
 60-70,0,0,0,0,0,0,3.93,0,0.98,0,0,0,0,0,0,13.74,0,0,0.98,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0,7.85,0.98,0,0,0,0,2.94,0.98,0,16.69,0,0.98,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,1.06,0,1.06,0,2.12,1.06,0,0,2.12,0,1.06,8.5,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,4.37,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0,1.53,1.53,0,1.53,0,1.53,0,0,0,0,4.6,0,0,0,0,0,0.77,0,0,0
120,0,0,0,0,0,0,1.96,0,1.96,0,0,0,1.96,0,0,1.96,0,0,0,0,1.96,0,0,1.96,0
