stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,10,3,0,3,0,0,0,1,0,0,0,0,0,0,0,4,0,0,4,21,1,0,0,1,0,3,0,4,0,0,7,11,0,2,0,0
 24-34,0,0,1.64,2.46,0,0,5.75,0.82,0,0,3.28,0,0.82,0,0,0,0,0.82,9.85,0,0,6.57,57.46,0.82,0,0,0,0,16.42,0,0,0,0,3.28,13.95,0,1.64,0,1.64
 36-46,0,0,0,4.03,0,0,5.64,0,1.61,0.81,5.64,0,0,0,0,0,0,0,20.14,0,0,4.03,49.95,0,0,1.61,0,0,12.09,0,0,0,0,0,11.28,0,0,0,1.61
 48-58,0,0,0,3.44,0,0,15.49,0,1.15,1.15,5.16,0,0.57,0,0,0,1.15,1.15,17.21,0,0,2.3,26.4,0,0,0.57,0,0,13.2,0,0,0.57,0,0,10.33,0,3.44,0,1.15
 60-70,0,0,0,4.91,0,0,13.74,0.98,2.94,1.96,11.78,0.98,0,0,0,1.96,0,0,25.52,0,0,0.98,23.56,0,0.98,0.98,0,0,13.74,0,0,0,0,0,9.82,0,0.98,0,2.94
 72-82,0,0,0,4.91,0.98,0,12.76,0,0,0,9.82,2.94,0.98,1.96,0,0.98,0,0.98,45.16,0.98,0.98,6.87,25.52,0,1.96,0,0,0,7.85,0,0,0,0.98,0,0,1.96,10.8,0,0.98
 84-94,0,0,0,6.37,0,0,15.93,0,0,1.06,11.68,0,0,1.06,1.06,1.06,0,1.06,30.8,0,2.12,3.19,11.68,0,1.06,1.06,0,0,25.49,0,0,0,1.06,0,4.25,0,1.06,2.12,1.06
 96-106,0,0,0,6.56,0,0,9.84,0,2.19,2.19,10.93,2.19,1.09,3.28,2.19,2.19,1.09,0,24.04,1.09,1.09,4.37,18.58,0,1.09,1.09,0,0,8.74,0,0,0,1.09,0,1.09,0,4.37,1.09,1.09
108-118,0,1.53,0,7.66,1.53,2.3,8.43,0,3.06,1.53,5.36,2.3,0,0,1.53,3.06,0,0.77,21.45,0,0.77,6.13,20.68,0.77,0.77,2.3,0,0.77,6.13,0,0,0,0,0,0.77,0,6.13,0,2.3
120,0,0,0,19.6,0,1.96,13.72,0,1.96,0,5.88,0,0,3.92,0,1.96,0,1.96,27.44,0,0,5.88,19.6,0,0,0,0,0,11.76,0,0,0,0,0,0,0,5.88,0,1.96
