stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,periderm,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,0,2,0,0,0,13,0,0,6,0,2,0,3,1,0,0,1,0,1,0
 24-34,0.82,4.93,2.46,0,0,20.52,0.82,0,7.39,0,0,0.82,13.95,0,0.82,1.64,0,0.82,0,0
 36-46,0,0,0,0,0,19.34,0,0,4.03,0,0.81,0,4.83,0,0,0.81,0,0,0.81,0
 48-58,0,0,1.72,0,0,13.2,0,0,0.57,0.57,0,0,3.44,0,0,0.57,0,0,0,0
 60-70,0,0,0.98,0,0.98,1.96,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0
 72-82,0,0,0.98,0.98,0.98,3.93,0,0,0.98,0,0.98,0,2.94,0,0,0.98,0,0.98,0,0
 84-94,1.06,0,0,0,0,2.12,0,0,0,0,1.06,0,0,0,0,4.25,0,1.06,0,0
 96-106,1.09,0,0,0,2.19,6.56,0,1.09,0,0,0,0,1.09,0,0,2.19,0,0,0,2.19
108-118,2.3,0,1.53,0,0,2.3,0,0.77,0,0,0,0,0.77,0,0,1.53,0,0,0.77,0
120,1.96,0,1.96,1.96,1.96,7.84,0,0,0,0,3.92,1.96,0,0,0,3.92,0,0,1.96,0
