stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,olfactory,pericytes,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0,1.64,0
 36-46,0,0,0.81,0,0,0.81,0,0,3.22,3.22,0,0,0.81,0,0.81,0.81,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,2.3,0.57,0,0,0.57,0,0.57,0,0,0,4.02,0,0,0,0
 60-70,2.94,0,1.96,0,1.96,0.98,0,0,1.96,4.91,0,0,1.96,0,0.98,3.93,0,0,43.19,0,0,0,0
 72-82,3.93,0,5.89,0,0,2.94,0.98,0,1.96,2.94,1.96,0,1.96,0.98,0.98,1.96,0,0,44.17,0,0.98,0,0.98
 84-94,4.25,0,0,0,1.06,1.06,0,0,1.06,1.06,3.19,0,4.25,1.06,0,4.25,0,1.06,83.9,1.06,0,0,0
 96-106,8.74,1.09,2.19,0,2.19,0,4.37,1.09,2.19,3.28,4.37,1.09,5.46,4.37,1.09,5.46,2.19,1.09,195.62,0,0,0,0
108-118,4.6,0,1.53,0.77,3.06,2.3,0.77,1.53,1.53,7.66,3.06,0,10.72,0.77,0,3.83,0,0,86.55,0,0,0.77,0
120,1.96,1.96,0,0,1.96,0,0,1.96,1.96,9.8,0,0,5.88,0,0,5.88,0,0,117.59,0,0,0,0
