stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,11,2,0,10,0,0,0,3,1,0,0,0,0,0,0,1,8,0,0,6,76,1,1,0,2,0,1,7,0,6,9,22,0,0,1,0,0
 24-34,0.82,2.46,2.46,0,0,32.01,12.31,0,0,4.93,0,0,0,0,0,0,0,0,15.6,0,0,10.67,236.41,0.82,0,4.93,0,0,2.46,0,1.64,14.78,14.78,56.64,0,0,2.46,0,0
 36-46,0,0,3.22,0,0,60.43,30.62,0,0,10.47,0,0,0.81,0,0,0,0,0,14.5,0,0.81,5.64,183.69,0,6.45,0.81,0,0,1.61,0,0.81,16.11,0.81,47.53,0,0,0,0,0
 48-58,0,0,0.57,0,0,119.35,48.2,0,1.15,16.07,1.15,0.57,0,0,0,0,0,0,25.82,0,1.15,8.03,175.01,0,2.3,1.15,0,0,1.15,0,0.57,16.07,0,38.44,0,0,1.72,0,1.15
 60-70,0,0,0,0,0,148.21,57.91,0,0,21.59,0.98,0,0,0,0.98,0,0,0,17.67,0,1.96,13.74,189.43,0.98,0.98,0.98,0,0,3.93,0,0.98,17.67,0,25.52,0,0,0,0,0
 72-82,0,0,2.94,1.96,0.98,289.59,45.16,0,4.91,49.08,0,0.98,0,0,0.98,0,0,0,40.25,0,0.98,11.78,350.45,0,8.83,1.96,0,0,0,0,0.98,6.87,0,34.36,0,0,2.94,1.96,1.96
 84-94,1.06,0,3.19,2.12,0,126.38,69.03,1.06,3.19,28.68,0,1.06,0,0,2.12,0,0,0,22.3,0,2.12,12.74,133.82,0,3.19,2.12,0,0,5.31,0,0,15.93,0,12.74,0,1.06,2.12,0,0
 96-106,0,0,2.19,4.37,0,127.86,61.2,0,2.19,37.16,0,1.09,4.37,0,1.09,0,0,0,30.6,1.09,4.37,9.84,143.16,0,5.46,2.19,0,1.09,2.19,0,0,18.58,0,6.56,0,0,0,0,2.19
108-118,0,0.77,6.13,0.77,0,104.17,59.75,0,0.77,32.94,0.77,0,1.53,0.77,0,0.77,1.53,0,26.04,0,1.53,13.02,157.02,0,3.06,1.53,0,0,3.83,0,0,14.55,0,5.36,0.77,0,0.77,1.53,0.77
120,0,0,1.96,1.96,0,66.63,27.44,3.92,3.92,13.72,0,0,1.96,0,0,1.96,1.96,1.96,21.56,0,0,27.44,160.7,0,0,1.96,0,1.96,5.88,0,0,5.88,0,7.84,0,0,1.96,0,0
