stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,84,0,0,0,3,0,0,0,0,1,0,0,1,3,0,0,0,0,0,2,0,0
 24-34,0,0,105.89,1.64,1.64,0,0.82,0,0,0,0,24.63,0.82,16.42,13.13,1.64,0,0,0,0,0,2.46,0,0
 36-46,0,0,27.39,1.61,2.42,0,0.81,0,0.81,0,0,56.4,0,12.89,4.03,0.81,2.42,0,0,0,0,0.81,0.81,0
 48-58,0,0,13.77,4.59,1.15,1.15,0.57,0,0,0,0,48.2,0,8.03,2.87,0,0,0,0,0.57,0,0.57,0.57,0.57
 60-70,0,0,16.69,0.98,0.98,0,0,0,0,0,0,53,0,7.85,1.96,0.98,0.98,0.98,0,0,0.98,0,0,1.96
 72-82,0,0,12.76,1.96,0,1.96,0,0,0,0.98,0,77.55,0,6.87,4.91,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,56.29,3.19,5.31,0,0,0,1.06,0,0,76.47,1.06,6.37,5.31,2.12,1.06,1.06,0,6.37,0,0,0,0
 96-106,0,0,63.39,3.28,5.46,2.19,1.09,0,0,0,1.09,60.11,0,3.28,8.74,1.09,2.19,1.09,0,3.28,0,0,1.09,0
108-118,0,0,72.77,2.3,13.79,3.06,0.77,0.77,1.53,0.77,0,45.19,1.53,2.3,6.13,1.53,1.53,0,0,12.26,1.53,0,0,0
120,0,0,68.59,1.96,3.92,0,0,0,0,1.96,0,52.91,3.92,1.96,3.92,0,0,0,0,7.84,0,0,0,1.96
