stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,28.32,0,3.15,0,9.44,0,0,0,0,0,0
 14-21,0,0,1,4,0,0,3,0,0,0,2,3,0,0,0,0,0,0,2,5,0,0,1,18,0,0,1,0,0,2,5,15,5,0,0,0,0,2
 24-34,0,0.82,0.82,1.64,0,0,22.98,0.82,0,0,0,0.82,0,0,0,0.82,0,0,27.91,1.64,0,0,0.82,94.4,0,0,0.82,0,0,0,1.64,0,20.52,0,0,0,0,3.28
 36-46,0,0,0,0.81,0,0,19.34,0,0,1.61,0,0,0,0,0,1.61,0,0,33.84,0.81,0,0,0.81,294.87,0.81,3.22,0,0,0,0,0.81,0,54.79,0,0,0,0,3.22
 48-58,0,0,0,1.15,0,0,64.84,0,0,4.59,0,0,0,0.57,0,2.87,0,0,33.85,2.87,0.57,0,1.72,456.17,0.57,1.15,0.57,0,0,0,0.57,0,60.82,0,0,0,0,6.89
 60-70,0,0,0,0.98,0,0,155.08,0,0,5.89,0,0,0,0,0,7.85,0,0,26.5,13.74,0,0,0,727.31,0,0,0.98,0,0.98,0,0,0,103.06,0,0,0,0,11.78
 72-82,0,0,0,0.98,1.96,0,210.08,0,0,11.78,0,0,0,0,0,13.74,0,0,28.47,19.63,0,0,1.96,755.88,0,2.94,1.96,0,0.98,0,0,0,53.01,0,0.98,2.94,0,4.91
 84-94,0,0,0,5.31,4.25,1.06,178.42,0,1.06,10.62,0,0,0,0,0,19.12,1.06,0,48.85,14.87,0,1.06,1.06,379.15,0,2.12,1.06,0,1.06,0,0,0,26.55,0,0,0,0,6.37
 96-106,0,0,0,5.46,2.19,0,163.93,0,1.09,9.84,0,0,1.09,0,1.09,14.21,3.28,0,32.79,12.02,0,0,1.09,312.55,0,4.37,1.09,0,2.19,0,0,0,17.49,0,0,1.09,0,3.28
108-118,0,0.77,0,2.3,0.77,0,129.45,0,0.77,13.02,1.53,0,0,0.77,0,27.57,0.77,0.77,42.89,10.72,0,0.77,0,389.88,0.77,1.53,0,0,2.3,0,0,0,13.02,1.53,0,0,0.77,5.36
120,0,0,0,9.8,0,0,72.51,0,1.96,7.84,0,0,0,1.96,0,11.76,0,0,17.64,11.76,0,0,0,368.44,0,0,1.96,0,0,0,0,0,11.76,0,1.96,0,0,0
