stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,12.59,0,0,0,0,0,69.23,0,0,0,0,0,0,0,0,0,0,31.47,9.44,0,0,12.59,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,0,11,5,0,11,0,0,0,0,0,64,0,1,0,0,6,0,1,0,0,1,60,16,1,1,1,0,0,1,8,0,13,11,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,9.85,0,0.82,0,1.64,0.82,0,0,0.82,0,0,3.28,0,4.93,0,0,0,73.88,3.28,1.64,0,0,0,0,0,0,0,0.82,18.06,0,0,0.82,0,0
 36-46,0,0,0,0,1.61,0,0,4.03,0,0,0,0,1.61,0,0,0,0,0,0,0,2.42,0,0.81,0,136.16,5.64,0,0,0,0,0,0,0,0.81,0,16.92,0,0,0,0,0
 48-58,0,0,2.3,0,1.15,0,0,6.31,0,0,0.57,18.36,0.57,0,0,0,0,0,1.15,0,11.48,0.57,0,0.57,215.18,0,0,0,0,0,0,0,0,0,0,29.26,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,40.24,0,0,0,12.76,1.96,0,0,1.96,0,0,0,0,24.54,0.98,0,2.94,285.62,0.98,0,0,0,0,0.98,0,0,0,0,88.34,0.98,0,0,0,0.98
 72-82,0,0,1.96,0,1.96,0.98,0,61.84,0,0,0,14.72,11.78,0,0,0,0,0,0,0,48.1,0,0,0.98,237.56,0,1.96,0,0,0,0.98,0,0,0,0,48.1,1.96,3.93,1.96,0,0.98
 84-94,0,0,0,0,6.37,1.06,0,43.54,0,0,0,13.81,16.99,1.06,0,0,5.31,1.06,0,2.12,30.8,0,0,0,114.7,0,0,0,0,1.06,0,0,0,0,0,35.05,0,2.12,0,0,1.06
 96-106,0,0,0,0,4.37,0,0,49.18,1.09,0,1.09,18.58,10.93,0,2.19,0,10.93,0,0,0,24.04,1.09,0,1.09,104.91,0,2.19,0,0,0,1.09,0,0,0,0,8.74,1.09,1.09,0,0,1.09
108-118,0,0,0.77,0,2.3,0,0.77,38.3,0,0.77,1.53,13.79,12.26,0,0,0,9.96,0,0.77,0.77,12.26,0,0,0.77,114.89,1.53,0.77,0.77,0,0,0,0,0,0,0,6.89,0,1.53,0,0.77,0
120,0,0,0,0,0,0,0,23.52,1.96,0,0,5.88,9.8,0,0,0,7.84,1.96,1.96,0,17.64,0,0,0,107.79,0,1.96,0,0,0,0,0,0,0,0,7.84,1.96,0,0,0,0
