stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,566.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,30.65,625.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,0,5.26,13.14,0,49.95,0,0,0,2.63,0,0,0,0,0,0,0,0,0,307.56,5.26,0,0,78.86,0,0,0,0,0,0,0,0
 10-12,0,9.44,3.15,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,116.44,6.29,0,0,53.5,0,6.29,0,3.15,0,0,0,0
 14-21,0,0,1,4,0,0,0,2,0,0,0,0,0,0,0,2,0,1,20,0,1,0,1,0,0,1,0,2,4,0,0
 24-34,0,0.82,0,0,2.46,0,0.82,0,0,0,0,0,0,0,0,4.1,0,3.28,38.58,0,0,0,0,0.82,0,0,0.82,0,16.42,0,0.82
 36-46,0,0,0,0.81,5.64,0,2.42,0,0,0,0,0,0,0,0.81,2.42,0.81,0,47.53,0,0,0,0,0,0,0,0,0,12.89,0.81,0
 48-58,0,0,0,0,9.18,0,1.15,0,0,0,0,0,0.57,0,0,6.89,0.57,0.57,26.97,0,0,0.57,0,0,0,0,0,0,2.87,0.57,0
 60-70,0,0,0,0,15.7,0,3.93,0,0,0.98,0,0,0,0,0,3.93,0,1.96,20.61,0,0.98,0,0,0,0,0,0,0,0.98,0,0.98
 72-82,0,0,0,0,8.83,0,4.91,0,0,0,0,0,0,0,0,10.8,0,0.98,9.82,0,0.98,0.98,0,0.98,0,0,0,0,1.96,0.98,0
 84-94,0,0,0,1.06,4.25,0,1.06,0,0,0,0,0,0,0,0,2.12,1.06,0,9.56,0,0,0,0,0,0,0,1.06,0,2.12,0,0
 96-106,0,0,0,2.19,9.84,0,3.28,1.09,0,0,0,1.09,0,0,0,1.09,0,0,5.46,0,1.09,0,0,1.09,0,0,0,0,1.09,1.09,1.09
108-118,0,0,0,0,1.53,0,0.77,0,0,0,0.77,0,0,0.77,0,4.6,0,0,6.13,0,0,0,0,1.53,0,0,0,0,0,0,0
120,0,0,0,0,7.84,1.96,3.92,0,0,0,1.96,1.96,0,0,0,1.96,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0,0
