stage,axial,blastomeres,eye,fin.epithelia,glial,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,13.18
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0
 24-34,0,0,2.46,0,0,0,0,0,0,0,0,0
 36-46,0,0,0.81,0,0.81,0,0,0,2.42,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0.57,0,0,0
 60-70,0,0,15.7,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,33.38,0,0.98,0.98,0,0,0.98,0,0,0.98
 84-94,0,0,30.8,0,0,0,0,0,0,0,0,0
 96-106,0,0,27.32,0,0,0,0,1.09,2.19,0,0,0
108-118,0,0,19.92,0,0.77,0,0.77,0,1.53,0,0,0
120,0,0,13.72,1.96,0,0,0,0,0,1.96,0,0
