stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.76,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,5,0,0,13,0,0,1,1,0,0,0,0,0,0,0,5,0,0,6,71,0,0,7,2,0,6,4,2,6,20,0,0,0
 24-34,0,0,0,2.46,0,0,4.93,0,0,0,2.46,0,0.82,0,0,0.82,0.82,4.1,4.93,0,0,1.64,20.52,0.82,0,8.21,0,0,0,0.82,0.82,0,19.7,0,0,0
 36-46,0,0,0,0.81,0,0,2.42,0,0,0.81,2.42,0,0,0,0,0,0,3.22,0.81,0,0,0.81,12.09,0.81,0,16.92,0,0.81,0,0,0,0,10.47,0,0,0
 48-58,0,0,0,0,0,0,2.87,0,0,1.15,0.57,0,0,1.72,0,0,0,8.61,3.44,0,0,0,10.33,0,0,14.35,0,0,0,0,0,0,4.59,0,0,0
 60-70,0,0,0,0,0,0,5.89,0,0,0.98,0,0.98,0,1.96,0,0,0,31.41,0.98,0,0,1.96,11.78,0,0,8.83,0,1.96,0,0,0,0,0.98,0,0.98,0
 72-82,0,0,0,0.98,0,1.96,3.93,0,0,2.94,2.94,0,0,2.94,0.98,0,0.98,104.06,7.85,0,0,0,22.58,0,0,14.72,0,0.98,0,0,0,0,2.94,0,0,0
 84-94,0,1.06,0,1.06,1.06,4.25,6.37,0,1.06,1.06,0,1.06,0,4.25,0,0,0,298.43,7.43,0,1.06,0,14.87,0,0,12.74,0,2.12,0,0,0,0,0,0,1.06,0
 96-106,0,1.09,0,2.19,0,1.09,12.02,1.09,0,10.93,0,0,0,1.09,1.09,0,0,569.37,8.74,1.09,0,0,55.74,0,0,19.67,0,3.28,0,0,0,0,3.28,1.09,0,0
108-118,0,3.06,0,3.83,1.53,0.77,8.43,0,0,0.77,1.53,0,0,3.83,1.53,0,0,901.54,5.36,0,0,0,62.81,0.77,0.77,25.28,0,2.3,0,1.53,0,0,3.83,0,0.77,0.77
120,0,1.96,0,3.92,1.96,0,1.96,0,1.96,7.84,1.96,0,0,1.96,0,0,0,658.49,3.92,0,0,3.92,33.32,0,0,21.56,0,0,0,0,0,0,1.96,0,0,0
