stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,10.51,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,57.83,7.89,0,0,21.03,0,5.26,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,18.88,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,9.44,0,0,138.47,0,0,0,3.15,122.73,0,3.15,0,0,0,0,0,0
 14-21,0,5,0,1,55,446,0,2,2,0,1,3,0,5,4,0,0,0,0,0,91,0,0,92,63,8,0,5,12,0,5,1,338,7,11,541,17,0,0,99,0,0
 24-34,0,0,0.82,4.93,73.06,41.86,0,13.13,15.6,9.85,2.46,1.64,0.82,12.31,18.06,3.28,2.46,5.75,0.82,0,262.67,0.82,0,220.81,117.38,3.28,15.6,7.39,0,0,32.01,0,2.46,4.1,0,73.06,23.8,0,0,307,0,0.82
 36-46,0,0,0,0,42.7,5.64,0,6.45,15.31,35.45,1.61,0.81,0,7.25,25.78,0,0.81,4.83,0.81,0,326.3,0.81,1.61,172.41,92.65,1.61,10.47,8.86,0,0,20.95,0,0.81,2.42,0,0,20.95,0,0,145.83,0,0
 48-58,0,0,0,0.57,24.67,1.72,0,12.62,21.8,45.9,2.3,2.87,0,11.48,29.84,1.15,0.57,4.59,1.15,0.57,337.4,0,3.44,94.1,63.12,1.15,4.59,7.46,0,0,9.75,0.57,0,2.87,0,0,13.2,0,0.57,109.6,0,0.57
 60-70,0,0,0,0,22.58,0.98,0,9.82,26.5,37.3,5.89,3.93,0,7.85,36.32,1.96,0,4.91,1.96,0,415.18,0.98,1.96,56.93,63.8,0.98,5.89,4.91,0,1.96,5.89,0,0,1.96,0,0,14.72,0,4.91,93.24,2.94,0
 72-82,0,0,2.94,0,34.36,2.94,0,25.52,19.63,47.12,3.93,12.76,0,18.65,46.14,1.96,0,6.87,0.98,0,605.69,0.98,7.85,61.84,78.53,0.98,23.56,8.83,0,1.96,5.89,0,0,0,0,0,8.83,0.98,3.93,159.03,2.94,1.96
 84-94,1.06,0,1.06,0,72.22,1.06,0,40.36,39.3,44.61,8.5,18.05,0,13.81,75.4,4.25,0,11.68,4.25,0,398.26,0,6.37,62.66,30.8,2.12,39.3,9.56,0,0,8.5,0,0,4.25,0,0,3.19,2.12,4.25,172.05,5.31,0
 96-106,0,0,1.09,0,79.78,4.37,0,32.79,34.97,25.14,7.65,18.58,0,19.67,97.26,0,0,13.11,2.19,1.09,407.63,0,8.74,41.53,68.85,1.09,54.64,19.67,0,3.28,4.37,1.09,0,2.19,0,0,0,2.19,5.46,218.57,5.46,0
108-118,1.53,0,0.77,0,73.53,0,1.53,26.81,46.72,29.11,5.36,16.85,0,13.02,62.81,5.36,0.77,8.43,3.06,0,360.77,1.53,6.89,45.19,64.34,0.77,38.3,13.02,0,2.3,7.66,0,0,1.53,0,0,2.3,0,4.6,184.6,0,0
120,0,0,0,1.96,84.27,1.96,0,19.6,21.56,25.48,0,17.64,1.96,13.72,68.59,7.84,1.96,3.92,0,0,246.93,1.96,5.88,58.79,39.2,0,23.52,5.88,0,0,9.8,0,0,1.96,0,0,1.96,0,1.96,146.98,0,0
