stage,epidermis,eye,glial,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord
  7-9,0,0,0,0,0,2.63,0,2.63,0,0
 14-21,1,0,0,0,0,2,0,0,0,1
 24-34,0.82,0.82,0.82,0,0.82,6.57,0,0,0,0.82
 36-46,0.81,3.22,0,0,0,8.86,0.81,0,0,3.22
 48-58,0,1.72,1.15,1.72,0,5.16,0,0,0,1.15
 60-70,0,0.98,0,0,0,9.82,0,0,0,0
 72-82,0,3.93,3.93,0,0,4.91,0,0,0.98,0.98
 84-94,0,2.12,0,1.06,0,2.12,0,0,0,1.06
 96-106,0,6.56,1.09,1.09,0,4.37,0,0,0,1.09
108-118,0,1.53,1.53,0.77,0,3.06,0,0,0,0.77
120,0,0,0,0,0,5.88,0,0,0,0
