stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,777.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,91.94,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,10.51,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,60.46,2.63,0,0,15.77,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,88.12,6.29,0,0,72.38,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,5,8,0,3,0,0,0,3,1,0,0,0,0,0,0,0,2,0,0,10,71,2,0,0,0,0,0,0,23,4,109,132,30,0,0,1,0,0
 24-34,0,0,0,3.28,2.46,0.82,9.03,3.28,0.82,0.82,1.64,0.82,0,0.82,3.28,0.82,0,0.82,0,21.34,0,0,11.49,167.45,1.64,2.46,0.82,0,0,0.82,0,0,1.64,26.27,50.07,50.07,0,0,4.1,0,0.82
 36-46,0,0,0,0,3.22,0,7.25,6.45,0,3.22,4.83,0,0,0.81,8.86,0.81,0,0,1.61,25.78,0,0,6.45,133.74,0.81,3.22,0,0,0,1.61,0,0,4.03,13.7,3.22,50.76,0,0,0,0,9.67
 48-58,0,0,0.57,0,1.72,4.02,12.62,4.02,1.15,0,9.18,0.57,0,0.57,9.18,0,0,0,0.57,30.41,0,0,5.16,142.88,0,0.57,0,0,0,0,0,0,0,6.31,0,35,0,0,1.15,0,24.1
 60-70,0,0,0.98,0,3.93,4.91,37.3,5.89,0.98,1.96,7.85,0,0,0.98,15.7,0,0,0,1.96,52.02,0,1.96,7.85,220.84,0,0,1.96,0.98,0,0.98,0,0,0.98,5.89,0,40.24,0,0.98,0,0,28.46
 72-82,0,0,0,0,3.93,15.71,147.25,4.91,0,4.91,19.63,5.89,0,0,19.63,0.98,0.98,1.96,0.98,66.75,0,1.96,5.89,265.05,0,2.94,0.98,0,0.98,1.96,0,0,0,0,0,53.01,0,0.98,1.96,0.98,51.05
 84-94,0,0,0,0,5.31,9.56,97.71,4.25,2.12,3.19,13.81,3.19,0,0,45.67,3.19,4.25,0,1.06,48.85,1.06,3.19,3.19,123.2,1.06,1.06,6.37,0,0,1.06,0,0,1.06,5.31,0,23.36,0,3.19,1.06,1.06,65.85
 96-106,0,0,0,0,1.09,9.84,115.84,3.28,1.09,3.28,21.86,5.46,0,0,52.46,1.09,0,0,0,42.62,0,2.19,5.46,133.33,0,3.28,3.28,0,0,2.19,0,0,1.09,4.37,0,16.39,0,1.09,8.74,1.09,72.13
108-118,0,0,1.53,0,7.66,5.36,81.19,5.36,3.06,3.06,16.09,5.36,0,0.77,69.7,3.06,3.06,0,1.53,27.57,0,4.6,7.66,193.79,0,3.83,5.36,0,0,2.3,0,0,2.3,6.13,0,5.36,0.77,1.53,3.06,0.77,118.72
120,0,0,0,0,13.72,1.96,76.43,0,1.96,3.92,5.88,1.96,0,0,27.44,0,1.96,0,0,19.6,0,1.96,7.84,184.22,1.96,1.96,0,0,0,7.84,0,0,1.96,5.88,0,15.68,0,0,3.92,1.96,43.12
