stage,axial,blastomeres,eye,glial,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,2.63,0,0,0,0,0,0,23.66,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,15.73,0,9.44,0,0,3.15,0
 14-21,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,1.61,0,0,11.28,0,0,0.81,0,4.03,0
 48-58,0,0,0,0,0.57,0,0.57,0,0.57,7.46,0,0,0,0,2.3,0
 60-70,0,0,0.98,0.98,0,0,0,0,0,2.94,0,0,0,0,0,0
 72-82,0,0,1.96,0.98,0,0,1.96,0,0,5.89,0.98,0,0,0,2.94,0
 84-94,0,0,2.12,0,0,0,2.12,1.06,0,3.19,0,0,1.06,1.06,1.06,0
 96-106,0,0,1.09,1.09,0,1.09,3.28,0,0,4.37,0,0,0,0,0,0
108-118,0,0,2.3,1.53,0,0,1.53,0,0,7.66,0,0,0,0,1.53,0.77
120,0,0,0,0,0,0,0,0,0,9.8,0,0,0,0,1.96,0
