stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,1792.2,29030.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1054.23,0,0,0,0,0,0,0
  5-6,1489.5,16304.83,12.26,0,0,0,0,0,0,12.26,0,0,0,0,0,183.89,18.39,0,0,49.04,306.48,0,0,0,0,0,0,0
  7-9,15.77,28.92,18.4,0,0,15.77,0,0,0,15.77,0,0,0,0,0,573.06,10.51,0,0,136.69,0,28.92,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,3.15,0,0,0,0,0,31.47,0,0,0,3.15,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,9,0,1,0,0,2,0,2,2,3,2,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,1.64,0,0.82,8.21,0,0,0,0,2.46,0,0,0,0,4.1,0,0.82
 36-46,0,0,0,0.81,0,1.61,0,0.81,0,0,0,0,0,0,0,21.75,0,0,0,0,2.42,0,0,0.81,0,3.22,0,0
 48-58,0,0,0,0.57,0,3.44,0,0.57,0,0.57,0,0,1.15,0,0,13.2,0,0,0,0,1.15,0,0,0,0,2.3,0,0
 60-70,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,11.78,0,0,0,0,2.94,0,0,0,0,1.96,0,0
 72-82,0,0,0,1.96,0,2.94,0,0.98,0,0,0,0,0.98,0,0,13.74,0,0,0.98,0,7.85,0,0,0,0,1.96,0.98,0
 84-94,0,0,0,1.06,0,3.19,0,1.06,0,0,1.06,0,1.06,0,0,10.62,0,0,0,0,28.68,0,0,0,0,0,2.12,0
 96-106,0,0,0,2.19,0,1.09,0,1.09,0,0,0,1.09,0,0,0,9.84,0,0,0,0,21.86,0,0,0,0,0,0,0
108-118,0,0,0,1.53,0,0,0,0,0,0,0,0.77,2.3,0.77,0,12.26,0,0,0,0,14.55,0,0,0,0,0.77,0,0
120,0,0,0,0,0,0,1.96,1.96,1.96,0,0,0,1.96,0,0,7.84,0,0,0,0,5.88,0,0,0,0,0,0,0
