stage,epidermis,eye,gut,liver,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,21.03,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,147.91,3.15,0,3.15,0,0,0,0,0
 14-21,11,0,0,1,0,1,0,0,0,1,1,1,1,0
 24-34,0,0,0,2.46,0,0.82,0,0,0,0,2.46,0,0,0
 36-46,0,0,0,0.81,1.61,0,0,0,0,0,0,0,0,0
 48-58,0,0,0.57,2.3,0,1.72,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,1.96,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,3.19,1.06,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,7.65,1.09,0,0,1.09,0,0,0,0,0,1.09
108-118,0,0,0,13.79,0,2.3,0,0,0,0,1.53,0,0,0
120,0,1.96,0,25.48,3.92,0,0,0,0,0,0,0,0,0
