stage,erythrocytes,eye,glial,lateral_line,mesenchyme,mural_cell,muscle,neural,periderm,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0.82,0,0,0.82,0.82,0,0.82,0.82,0,0,0,2.46
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,6.45
 48-58,0,0,0.57,0,0,0,0,0,0,0,0,6.89
 60-70,0,0.98,0,0,0.98,0.98,0,0.98,0,0.98,0,4.91
 72-82,0,0.98,0,0,0.98,0,0,0,0,0,0.98,4.91
 84-94,0,0,0,0,1.06,0,0,1.06,0,0,0,8.5
 96-106,0,0,0,0,0,0,0,2.19,1.09,0,0,12.02
108-118,0,0,0,0,1.53,0,0,0,0,0,0,6.13
120,0,1.96,0,0,5.88,0,0,1.96,0,0,0,11.76
