stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,7.39,0,0.82,0,0,0,0.82,2.46,0,0,0
 36-46,0,0,0,0,0,2.42,1.61,0,0,0,3.22,0,0,0,0.81,0,0,31.42,0,1.61,0,0,0,1.61,3.22,0,1.61,0
 48-58,0,0,0,0,0,2.87,2.3,0,1.15,0,2.87,0,0,0,0,0,0,39.02,0,0,0,0,0,1.72,2.87,0,0,0
 60-70,0,0,0,0,0,9.82,6.87,0.98,1.96,0,2.94,0,0,0,6.87,0,1.96,119.75,0,0,0.98,0,0,3.93,14.72,0.98,0,0
 72-82,0,0,0.98,0,0,11.78,0.98,0,9.82,0.98,3.93,0,0,0,9.82,0.98,0.98,162.96,0,0,0,0,0,0,13.74,1.96,0,0.98
 84-94,0,0,0,0,0,16.99,5.31,0,6.37,0,1.06,0,0,0,6.37,0,1.06,123.2,0,1.06,0,0,2.12,4.25,5.31,1.06,0,1.06
 96-106,0,0,1.09,0,0,27.32,3.28,0,4.37,0,0,1.09,1.09,2.19,8.74,2.19,1.09,112.56,1.09,0,1.09,0,2.19,2.19,6.56,0,1.09,0
108-118,0,0.77,3.83,0.77,0.77,14.55,3.06,0.77,4.6,1.53,0,0,1.53,0,7.66,0,2.3,128.68,0,0,0,0,0,4.6,4.6,0.77,0,0
120,0,0,5.88,3.92,0,41.16,3.92,0,11.76,0,0,0,0,0,5.88,0,1.96,148.94,0,1.96,1.96,1.96,1.96,3.92,3.92,0,1.96,0
