stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,periderm,pronephros,spinal_cord,vascular_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
 24-34,0,0,0,0.82,0,0,0,0,0,8.21,0,0,0,0,2.46,0,0,0,0,2.46,0
 36-46,0,0,0,0,0,0,0,0,0,8.06,0,0,0,0,5.64,0,0,0,0,0.81,0
 48-58,0,0,0,4.59,0,0.57,0,0,0,7.46,1.72,0,0,0,6.31,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,5.89,10.8,0,0.98,1.96,7.85,0,0,0,0,1.96,0.98
 72-82,0,0,0,2.94,0,0,0,0,0,4.91,29.45,0,0,0.98,14.72,0,0.98,0,0,0,0.98
 84-94,1.06,0,0,12.74,0,0,0,1.06,0,10.62,15.93,0,1.06,0,5.31,0,0,0,0,1.06,2.12
 96-106,0,0,0,5.46,1.09,0,1.09,0,1.09,13.11,26.23,1.09,1.09,2.19,6.56,0,0,0,0,0,1.09
108-118,0,0.77,0.77,7.66,0,0,0,0.77,0,10.72,26.04,0,0,0.77,18.38,0,0,0,0,0,0
120,0,0,0,9.8,0,0,0,0,0,3.92,9.8,0,0,1.96,15.68,0,0,0,0,0,3.92
