stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,5,1,5,0,0,1,0,0,0,0,0,0,6,0,0,0,55,1,0,1,2,0,0,5,0,6,19,0,0,0,0,0
 24-34,0,0,0,0,1.64,0.82,6.57,0,4.93,0,0,0,0,0.82,0,1.64,8.21,0.82,0,0.82,80.44,0,0.82,0.82,0,0,0,0,0,0.82,14.78,0,0,2.46,0,0
 36-46,0,0,0,0,0.81,0,19.34,0,5.64,1.61,0,0,0,0,0,0,8.06,0,0,3.22,58.81,0,0,0.81,0,0.81,0.81,0,0,0,16.92,0,0,2.42,0,0.81
 48-58,0,0,0,0,0.57,0,28.69,0,6.89,0.57,0.57,0,0.57,0.57,0,0,9.18,0,0.57,2.87,45.33,0.57,0,0.57,0,0,1.72,0,0,0,15.49,0,0,1.15,0,0.57
 60-70,0,0,0,0,0.98,0,26.5,0.98,10.8,0,0,0,0,0,0,0,10.8,0,0,1.96,48.09,0,0,0,0,0,0,0,0,0,7.85,0,0,0,0,0
 72-82,0,0,0,0,2.94,0.98,12.76,0,5.89,0,0,0,0,0,0,0,11.78,0,0,0,31.41,0,1.96,0.98,0,0,0,0,0,0,1.96,0,0,0.98,0,0
 84-94,0,0,2.12,0,0,0,12.74,1.06,6.37,0,1.06,0,0,0,0,0,10.62,0,0,2.12,13.81,0,0,2.12,0,0,1.06,0,1.06,0,3.19,0,1.06,3.19,0,0
 96-106,0,0,1.09,0,2.19,0,10.93,0,7.65,2.19,0,0,0,0,0,1.09,13.11,0,0,1.09,13.11,0,1.09,1.09,0,0,2.19,0,0,0,0,0,0,0,1.09,2.19
108-118,0,0,0,0,1.53,0,7.66,0,6.89,0,0,2.3,0.77,0.77,0.77,0.77,9.19,0,1.53,1.53,16.09,0,0,0.77,0,0,0.77,0,0,0,1.53,0.77,0,0.77,0,0
120,0,0,0,0,1.96,0,1.96,0,3.92,0,0,0,0,0,0,0,5.88,0,0,3.92,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
