stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,25,0,2,0,0,0,1,0,1,0,0,14,0,0,0,0,2,3,0,1,10,1,0,1,0,0,2,2,3,3,6,45,5,0,1,0,0
 24-34,0,0.82,2.46,0.82,21.34,0,11.49,5.75,0.82,0,0.82,0,0,0,1.64,65.67,0,0.82,0,0,4.1,11.49,0,3.28,59.1,0.82,0.82,1.64,0,0,0.82,0,0,17.24,10.67,18.06,9.85,0,3.28,0,0
 36-46,0,0,0,0,16.11,0,11.28,21.75,0,0.81,1.61,0,0,0,0.81,21.75,0.81,0,0.81,0,1.61,4.03,0,1.61,24.17,0,0,0.81,0,0,1.61,4.03,0,21.75,47.53,2.42,7.25,0,0,0,0
 48-58,0,0,0,1.72,26.4,0,13.2,33.28,0,0.57,3.44,0.57,0,0,0,10.9,0.57,1.15,2.87,0.57,2.87,0,0.57,3.44,26.97,0,0,0,0,0,0,0,0,13.2,71.73,0,6.31,0,1.72,0,0.57
 60-70,0,0.98,0,3.93,8.83,0,16.69,44.17,0.98,0,6.87,4.91,0,0.98,0.98,9.82,0,0,0.98,0,7.85,0.98,0,3.93,19.63,0,0,3.93,0,0,0.98,0.98,0,27.48,54.97,0,1.96,0,0,0,0.98
 72-82,0,0,0,3.93,33.38,2.94,22.58,31.41,0.98,0.98,27.49,1.96,0,2.94,0,20.61,0,0.98,7.85,0,23.56,0,0.98,0.98,51.05,0,0,1.96,0,0,3.93,0,0,61.84,37.3,0,3.93,0,3.93,0.98,0.98
 84-94,0,0,0,7.43,23.36,16.99,23.36,88.15,2.12,0,32.92,11.68,0,1.06,1.06,50.98,2.12,1.06,42.48,0,8.5,2.12,0,4.25,47.79,0,0,5.31,0,1.06,7.43,0,0,179.48,99.83,0,1.06,1.06,3.19,0,0
 96-106,0,1.09,0,18.58,54.64,13.11,48.09,121.31,0,1.09,53.55,14.21,0,8.74,7.65,46.99,2.19,1.09,38.25,0,29.51,5.46,0,8.74,74.31,0,2.19,9.84,0,0,10.93,2.19,0,155.18,93.98,0,2.19,1.09,3.28,2.19,0
108-118,0,0,0.77,10.72,56.68,16.09,39.83,166.98,1.53,0,45.96,19.15,0,6.13,3.83,48.26,3.06,0.77,60.51,0,15.32,2.3,0.77,17.62,51.32,0.77,1.53,4.6,0,0.77,6.13,2.3,0,173.11,98.04,0,3.06,2.3,1.53,0,3.06
120,0,0,0,13.72,54.87,7.84,21.56,74.47,1.96,0,31.36,13.72,0,3.92,5.88,27.44,1.96,0,31.36,0,13.72,1.96,0,17.64,56.83,0,3.92,3.92,0,0,15.68,1.96,1.96,123.47,31.36,0,1.96,1.96,0,0,0
