stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,210.85,4533.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.49,0,0,0,0,0,0,0,0,0,0
  5-6,202.28,2758.34,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,0,0,0,12.26,0,67.43,0,0,0,0,0,0,0,0,0,0
  7-9,36.8,65.72,63.09,0,0,0,136.69,0,0,0,0,44.69,0,0,0,0,0,0,0,0,0,0,0,1148.75,34.17,0,0,362.76,0,2.63,15.77,0,0,0,0,0,0,0,0,0
 10-12,3.15,53.5,56.65,0,3.15,0,122.73,0,0,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0,1217.88,47.2,0,0,339.87,0,0,9.44,3.15,34.62,0,0,0,0,0,0,0
 14-21,0,0,7,93,47,0,68,0,0,13,3,1,1,0,5,0,0,0,0,58,0,0,51,653,22,3,8,21,0,18,0,46,5,61,225,0,0,9,0,4
 24-34,0,0,6.57,19.7,4.1,0,142.83,2.46,0.82,21.34,1.64,0,2.46,1.64,4.1,0.82,2.46,2.46,0,90.29,0,0.82,39.4,705.94,4.93,2.46,2.46,0,0,15.6,0,0,4.93,6.57,139.55,0,0,11.49,0,8.21
 36-46,0,0,0,11.28,1.61,0,132.94,0,0,7.25,2.42,0,0.81,3.22,0,0,0.81,0,0,76.54,0,4.83,13.7,335.96,2.42,1.61,4.03,0,0,8.06,0,0,0,0,82.18,0,0,2.42,0,4.03
 48-58,0,0,0,12.62,0.57,0,133.12,1.72,4.59,29.84,1.15,0,1.72,0.57,0.57,1.72,1.72,0,0,79.19,0.57,5.16,20.08,144.6,1.72,1.72,0.57,0,0,3.44,0,0,0.57,0.57,17.21,0,0,7.46,0,8.03
 60-70,0,0,0,7.85,0,0,72.63,1.96,0,32.39,2.94,0,0,1.96,0.98,1.96,0,0,0.98,65.76,0,3.93,12.76,68.71,3.93,0.98,1.96,0,0,2.94,0,0,1.96,0,6.87,0,0,3.93,1.96,1.96
 72-82,0,0,0,15.71,1.96,0,42.21,0,2.94,30.43,4.91,0,0.98,1.96,0,0.98,1.96,1.96,0,86.39,0,1.96,15.71,64.79,0,1.96,5.89,0,0,1.96,0,0,0,0,3.93,0,0.98,9.82,1.96,0.98
 84-94,0,0,0,9.56,2.12,1.06,33.99,0,2.12,14.87,2.12,0,0,2.12,3.19,1.06,2.12,0,0,63.72,1.06,4.25,16.99,53.1,1.06,3.19,2.12,0,0,7.43,0,0,1.06,0,2.12,0,0,8.5,0,1.06
 96-106,0,0,1.09,18.58,3.28,0,27.32,1.09,1.09,16.39,5.46,0,2.19,5.46,1.09,6.56,1.09,1.09,0,51.36,0,1.09,10.93,48.09,3.28,0,1.09,0,0,8.74,1.09,0,1.09,0,2.19,1.09,2.19,8.74,3.28,2.19
108-118,0,0,0,24.51,2.3,0.77,20.68,3.06,0.77,31.4,3.83,0,0,3.06,0.77,2.3,0,1.53,0,42.89,0,2.3,15.32,55.15,3.06,0.77,0.77,0,0,13.02,0,0,2.3,0,1.53,2.3,0,13.02,2.3,2.3
120,0,0,0,33.32,15.68,1.96,25.48,3.92,0,21.56,0,0,1.96,19.6,1.96,3.92,1.96,0,0,66.63,1.96,1.96,11.76,82.31,5.88,3.92,1.96,0,1.96,9.8,0,0,0,0,1.96,0,0,5.88,1.96,0
