stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,12.59,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,1,0,2,9,0,0,0,0,1,0,1,2,0,0,0,0
 24-34,0,0,0,1.64,0,4.1,0,0,0,0,0,0.82,0,0,0,0,0,0,29.55,0,0.82,0,0,2.46,0,0,6.57,0,2.46,0,0
 36-46,0,0,0,0.81,0,4.83,0,0.81,4.03,0,0,0.81,0,0,1.61,1.61,0,0.81,24.98,1.61,1.61,0,0,1.61,0,0,4.03,0,1.61,0,0
 48-58,0,0,0,0.57,0,10.33,0,0.57,2.3,0,0,1.15,0,0,0.57,4.59,0,1.15,48.2,0,0.57,0,0,0,0,0,6.89,0.57,1.72,0,0.57
 60-70,0,0,0,0.98,0,17.67,0,1.96,7.85,0.98,0,0,0,0,0,6.87,0.98,0.98,51.04,0,0.98,0.98,0,2.94,0,0,2.94,0,0.98,0,0
 72-82,0,0,0.98,0,2.94,23.56,0,0,7.85,0,0,0,0,0,0,7.85,0,0,37.3,0,0,0,0,0.98,0,0,7.85,0,1.96,0.98,0
 84-94,0,0,0,1.06,0,8.5,0,1.06,2.12,0,0,0,0,0,0,4.25,0,0,13.81,0,0,0,0,1.06,0,0,2.12,0,1.06,1.06,0
 96-106,0,0,1.09,1.09,0,10.93,0,0,1.09,0,0,1.09,1.09,1.09,0,2.19,0,0,9.84,0,0,2.19,0,1.09,0,0,2.19,0,0,0,0
108-118,0,0,0,0.77,0,5.36,0.77,0,2.3,0,0.77,1.53,0,0,0,3.06,0,0.77,9.19,0,0,0,0,0.77,0,0,0,0,0.77,0,0
120,0,0,0,1.96,1.96,7.84,0,1.96,7.84,1.96,1.96,0,0,0,0,3.92,0,1.96,21.56,0,0,0,0,3.92,0,0,0,0,0,0,0
