stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,0,4,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,2,89,1,0,0,1,0,0,0,2,0,50,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,82.09,0,0,0,9.85,0,0.82,0,0,0,0,0,0,4.93,0,0,0,108.35,1.64,0.82,1.64,0,0,2.46,0,0,0,93.58,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,404.45,0.81,0,0,33.84,0,0,0.81,0,0,0.81,0,0,5.64,0,0,0,81.37,0,1.61,0.81,0,0,0.81,0.81,0,0,107.15,0,0,0.81,0,0.81
 48-58,0,0,0,0,2.87,0.57,755.7,1.15,1.15,0.57,48.2,0,0,0,0,0.57,2.87,0.57,0,8.03,0.57,2.3,0.57,118.2,0,0.57,1.15,0,0,1.15,0,0,0,109.02,0,0,0,0,0.57
 60-70,0,0,0,0,1.96,0,963.85,0,0,0,151.15,0,0,0.98,0,0.98,1.96,0,0,14.72,0,0.98,2.94,115.82,1.96,0.98,0.98,0,0,1.96,0,0,0.98,63.8,0.98,0,0,0,0.98
 72-82,0,0,0,0.98,3.93,1.96,631.21,0.98,0,0.98,314.13,0,0.98,0.98,0.98,1.96,5.89,0,0,43.19,0,1.96,4.91,139.4,0,0.98,3.93,0,0.98,0.98,0,0,0.98,21.6,0,1.96,1.96,0,2.94
 84-94,0,0,1.06,0,6.37,0,380.21,0,1.06,1.06,231.52,0,0,0,1.06,1.06,5.31,0,1.06,30.8,0,1.06,1.06,82.84,0,0,5.31,0,0,1.06,0,0,0,18.05,1.06,0,2.12,1.06,3.19
 96-106,0,0,0,0,3.28,0,281.95,0,1.09,1.09,303.81,0,1.09,1.09,1.09,1.09,13.11,0,0,43.71,0,1.09,1.09,83.06,0,1.09,7.65,0,0,2.19,0,0,0,6.56,0,0,0,0,2.19
108-118,0,0,0,0,4.6,0,238.21,0,0.77,0.77,233.62,2.3,0,0.77,0.77,1.53,14.55,1.53,0,49.79,0,0.77,2.3,64.34,0,0.77,4.6,0,0,1.53,0,0,0.77,3.83,0,0.77,0.77,0.77,1.53
120,0,0,0,0,0,0,227.34,0,0,1.96,164.62,1.96,0,0,0,0,7.84,3.92,0,48.99,0,1.96,1.96,64.67,3.92,0,5.88,0,1.96,1.96,0,0,1.96,5.88,0,0,1.96,0,0
