stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,4,6,0,6,0
 24-34,0,0,0.82,0,0,9.85,0,0,0,0,0,0,0,0,0,0,0.82,0,13.95,0,0.82,0,0,1.64,0,0,0,2.46,0,8.21,0
 36-46,0,0,0,0,0,11.28,0,0,0,0.81,0,0,0,0,0,0,1.61,0.81,14.5,0,0,0,0,1.61,0,0,0,4.03,0,0.81,0
 48-58,0,0,0,0,0,12.62,0,0,0,0.57,0,1.72,0,0,0,0,1.15,0,10.33,0,0,0.57,0,1.15,0,0,0,1.15,0,0,0
 60-70,0,0,0,0,0,163.91,0,0,0,0.98,0,0,0.98,0,0,0,1.96,0,15.7,0,0,0,0,0,0,0,0,4.91,0,0,0
 72-82,0,0.98,3.93,0,0,345.54,0,0.98,0,3.93,0,0,0,0,0,0,8.83,0,19.63,0,0,0,0,0.98,0,0,0,0.98,0.98,0,0
 84-94,0,0,5.31,2.12,0,286.75,1.06,0,0,1.06,0,1.06,0,0,0,0,4.25,0,6.37,0,0,0,0,2.12,0,0,0,0,0,2.12,0
 96-106,0,0,2.19,0,0,250.26,0,2.19,1.09,0,0,0,2.19,0,1.09,0,1.09,0,9.84,0,0,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,1.53,0,0.77,158.55,0,0,0,1.53,0.77,0,0,0.77,0,0.77,3.06,0.77,13.79,0,0.77,0.77,0,0.77,0,0,0,0,2.3,1.53,0.77
120,0,0,3.92,1.96,0,182.26,0,1.96,0,1.96,0,0,1.96,1.96,0,0,3.92,0,15.68,0,0,3.92,0,1.96,0,0,0,0,0,0,0
