stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,34.17,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,22.03,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,1
 24-34,0,0,0.82,1.64,0.82,1.64,0,0,0.82,0,0,0,0,0,0.82,14.78,0,0,0,1.64,0,0.82,1.64,0,0,1.64,0,0,0.82,0,0,0.82
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,14.5,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,2.87,0,0,0,1.15,0,0,0.57,0,0,0.57,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,0.98,0,13.74,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0,0,0,0,0,1.96,0,0,0,0,0,0
 72-82,0,0,0,0.98,2.94,3.93,0,53.01,0,0.98,0,0,2.94,0.98,0,0.98,0.98,0,0,9.82,0,0,0,0,0,0.98,0,0,0.98,0,0,0
 84-94,0,0,0,4.25,0,1.06,0,63.72,0,0,0,0,1.06,0,0,0,4.25,1.06,0,3.19,0,0,1.06,0,0,3.19,0,0,0,0,0,1.06
 96-106,0,0,0,5.46,5.46,15.3,2.19,54.64,0,0,2.19,0,0,0,2.19,0,5.46,0,2.19,9.84,0,1.09,2.19,0,0,4.37,0,0,2.19,1.09,1.09,2.19
108-118,0,0,0,3.06,2.3,12.26,0,77.36,0,0,2.3,2.3,1.53,0,0.77,0,6.13,0,0.77,12.26,0,0,2.3,0,0.77,3.06,0.77,0,0,2.3,0,1.53
120,0,0,0,1.96,3.92,3.92,0,86.23,0,0,1.96,1.96,0,0,0,0,5.88,0,1.96,25.48,0,1.96,0,0,0,5.88,0,0,3.92,3.92,3.92,3.92
