stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,melanocytes,mesenchyme,mucous,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,taste,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0
 48-58,0,0.57,0,0,0,0,0,0,0,0,0,0,1.15,0,0,1.15,0,0,0,0
 60-70,0,0,0.98,0,0,0,0,0,0,0,0,0,3.93,0,0,0.98,0,0.98,0,0
 72-82,0,1.96,0,0.98,0,0,0,0.98,0,0,0.98,0,6.87,0.98,0,1.96,0,0,0,0
 84-94,0,1.06,1.06,0,1.06,0,0,1.06,2.12,0,0,1.06,2.12,1.06,0,6.37,0,2.12,0,0
 96-106,0,0,2.19,0,0,1.09,0,0,0,0,0,0,3.28,0,0,1.09,0,0,0,1.09
108-118,0,1.53,0,0,0,0.77,0,0,0,0.77,0,0,4.6,0,0,3.83,0,0,0.77,0
120,0,3.92,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0
