stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,immune,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,0,1,1,10,0,0,1,0,0,2,0,0
 24-34,0,0,0,0,0.82,0,0,0,0.82,0,0,0.82,0,20.52,0,0,0,0.82,0,0.82,0,0
 36-46,0,0,0,0,3.22,0,0.81,0,0,0,0,1.61,0,25.78,0.81,0,0,3.22,0.81,8.06,0,0
 48-58,0,0,0,0,4.02,0,1.72,0,0,0,0,0,0,10.9,0,0,0,2.3,0,0,0,0.57
 60-70,0,0,0.98,0,3.93,0.98,3.93,0,0,0,0,0,0,10.8,0,0,0,3.93,0,0,0,0
 72-82,0,0,0,0.98,3.93,0,1.96,2.94,0,0,0,0,0,6.87,0,0,0,0,0,0.98,0.98,0
 84-94,0,0,0,1.06,3.19,0,1.06,5.31,0,0,0,1.06,0,1.06,0,0,0,3.19,0,1.06,0,2.12
 96-106,0,0,0,0,3.28,0,1.09,4.37,0,2.19,1.09,0,0,3.28,0,1.09,0,1.09,0,0,0,2.19
108-118,0,0,0.77,0,2.3,0,1.53,1.53,0.77,0,0,0.77,0,10.72,0,0,0,4.6,0.77,0,0,2.3
120,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,1.96
