stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,39.53,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,24.52,404.56,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,12.26,0,0,6.13,12.26,0,0,0,0,0
  7-9,7.89,13.14,7.89,0,0,10.51,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,184.01,7.89,0,65.72,0,0,0,0,0,0
 10-12,0,3.15,12.59,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,103.85,3.15,0,31.47,0,3.15,0,0,0,0
 14-21,0,0,0,4,1,1,0,0,0,0,1,0,0,0,0,0,5,0,0,0,16,2,1,0,1,0,0,8,0,0
 24-34,0,0,0,0,0,8.21,0,0,0.82,0.82,0,0,0,0,0,0,4.93,0,0,0.82,29.55,0.82,0,0,0.82,0,0.82,9.03,0.82,0
 36-46,0,0,0,0,0,4.03,0,0,0.81,0,0,0,0.81,0,0,0,4.03,0,0,0,14.5,0,0,0,0,0,0.81,3.22,1.61,0
 48-58,0,0,0,0,0,5.16,0,0,4.02,0.57,0,0,0,0,0.57,0,5.74,0,0,0.57,10.33,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0.98,0,3.93,0,0.98,5.89,0,0,0.98,0,0,0,0,7.85,0,0.98,1.96,3.93,0,0,0,1.96,0,0,0,0.98,0
 72-82,0,0,0,0.98,0,2.94,0.98,0,5.89,0,0,0.98,0,0.98,0,0,7.85,0,0,0,1.96,0,0,0,0.98,0,0,0,0,0.98
 84-94,0,0,0,0,0,1.06,1.06,0,1.06,1.06,0,0,0,0,1.06,0,6.37,0,1.06,0,7.43,0,0,0,0,0,0,0,2.12,1.06
 96-106,0,0,0,0,0,0,0,2.19,2.19,0,0,0,0,1.09,1.09,3.28,6.56,1.09,0,0,2.19,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0,0,1.53,1.53,0,0,0,0,0,0,0.77,0,0,0,3.83,0,0,0,0.77,0,0,0,1.53,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,3.92,0,0,0,0,0,0,0,0,0
