stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,immune,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,79.69,6.13,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,13.14,0,0,5.26,0,0,0,0,0,0,157.72,13.14,0,0,268.13,0,0,0,0,0,0,0,0
 10-12,0,9.44,31.47,0,0,6.29,0,0,0,0,0,0,125.88,18.88,0,0,361.9,0,9.44,3.15,0,3.15,0,0,0
 14-21,0,0,1,2,1,0,0,0,0,0,2,5,1,1,0,0,3,1,103,0,2,145,4,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,1.64,7.39,0,0,0,0,0,0.82,0,0,12.31,1.64,0,0
 36-46,0,0,0,0.81,0,1.61,0,0,0,0,1.61,0.81,8.86,0.81,0,0,0,1.61,0,0,0,0,3.22,0,0
 48-58,0,0,0,0,0,2.3,0,0,0,0,1.15,0,5.16,0,0.57,0,0,1.15,0,0,0,0,0,0.57,0
 60-70,0,0,0,2.94,0,3.93,0,0,0,0,0.98,0,5.89,0,0,0,0,0,0,0,0,0,3.93,0.98,0.98
 72-82,0,0,0,0,0,1.96,0,0.98,0,0.98,3.93,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,1.06,0,1.06,0,0,0,1.06,0,0,1.06,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,0,3.28,1.09,0,0,3.28,1.09,4.37,0,0,1.09,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,1.53,0,2.3,0.77,0,0,0,0,0,3.06,0,0,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,1.96,0,0,0,7.84,0,1.96,0,0,0,0,3.92,0,0,0,0,0,0,0
