stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,iridophores,liver,mesenchyme,mucous,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,698.43,13270.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579.83,0,0,0,0,0,0,0
  5-6,275.83,3659.39,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,91.94,6.13,0,36.78,79.69,0,0,0,0,0,0,0
  7-9,18.4,15.77,34.17,0,0,47.32,0,0,0,28.92,0,0,0,0,0,0,675.58,26.29,0,283.9,0,10.51,0,0,0,0,0,0
 10-12,0,15.73,12.59,0,0,44.06,0,0,0,9.44,0,0,0,0,0,0,154.2,6.29,0,59.79,0,6.29,0,0,0,3.15,0,0
 14-21,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,5,1,1,0,0,0,1,0,1,3,6,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,1.64,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,5.74,0,0,0,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,1.96,0,0.98,0,0,0,0,0,0,0,0,6.87,0,0,0,0.98,0,0,0,0,0,0.98,0
 72-82,0,0,0,0.98,0,1.96,0,0.98,0.98,0,0,0,0,0,0.98,0,4.91,0,0,0,0,0,0,2.94,0,0,0.98,0.98
 84-94,0,0,0,0,0,1.06,1.06,0,0,0,1.06,0,1.06,0,1.06,0,5.31,0,0,0,1.06,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,1.09,1.09,0,0,0,1.09,0,3.28,1.09,2.19,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,3.83,0,0,0,0,0,0.77,0,0,0,2.3,0,4.6,0,0,0,0.77,0,0,0,0,0,0,0.77
120,0,0,0,0,0,1.96,0,0,1.96,0,0,1.96,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0
