stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,131.78,4243.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0,0,0,0,0,0
  5-6,61.3,625.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,18.39,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,0,0,15.77,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,5,4,0,8,0,0,0,1,0,0,0,0,0,0,2,0,1,40,0,2,0,1,0,6,1,1,5,18,0,0
 24-34,0,0,0,0,1.64,0,0,7.39,0,0.82,0.82,0,0.82,0,0,0,0,0,4.1,0,3.28,68.95,0,1.64,0,0,0,0,0,0,0,10.67,0,0.82
 36-46,0,0,0,0,0.81,0,0,10.47,0,0,3.22,0,0,0,0,0,0,0,7.25,0,0,84.6,0.81,0,0,0,0,0,0.81,0,0,12.09,0.81,0
 48-58,0,0,0,0,1.15,0.57,0,21.8,0,0,7.46,0,0.57,0,0.57,0,0,0,12.05,0,1.15,71.15,0,1.15,0,0.57,0,0,0,0,0,8.61,0,0
 60-70,0,0,0,0,2.94,0,0,30.43,0,0,1.96,0,0,0,0,0.98,0,0.98,13.74,0.98,1.96,42.21,0,1.96,0,0,0,0,0,0,0,2.94,0.98,0
 72-82,0,0,0.98,0,0,0.98,0,9.82,0,0,2.94,0,0,0,0,0,0,0,1.96,0,0.98,7.85,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,11.68,1.06,0,0,0,0,1.06,0,0,0,0,5.31,0,2.12,10.62,0,1.06,0,2.12,0,0,0,0,0,0,2.12,0
 96-106,0,0,0,0,0,1.09,0,9.84,0,0,2.19,2.19,0,2.19,0,0,0,0,10.93,0,2.19,5.46,0,0,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,1.53,0,0.77,3.06,0.77,0,2.3,3.06,0,1.53,1.53,0,0.77,1.53,3.83,0,0.77,5.36,0,0,0,1.53,0,0,0,0,0,0,2.3,0
120,0,0,0,0,1.96,0,0,3.92,0,0,1.96,0,0,5.88,1.96,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,1.96,1.96,0
