stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,9,1,0,0,0,3,2,0,4,0,0,0,0
 24-34,0,0,0,0.82,0,0,0.82,0,0.82,0,0,0,0.82,0,0,0,0.82,0,0.82,17.24,0,0,0,0,0.82,0,0.82,9.03,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0.81,0,0,0,0,0.81,4.83,0,0.81,17.72,0,0,0,0,2.42,0,0,6.45,0,0,2.42,0
 48-58,0,0,0,0,0,0,4.59,0,1.72,0,0.57,0,0,0,1.72,0,2.3,0,0.57,19.51,0,0,0,0,2.3,0,0,7.46,0,0,5.74,0
 60-70,0,0,0,1.96,0,0,11.78,0,1.96,0.98,0,0,0,0,3.93,0,6.87,1.96,0.98,27.48,0.98,0,0,0,0.98,0,0,11.78,0,0,2.94,0
 72-82,0,0.98,0.98,0.98,0,0,5.89,0.98,5.89,0,0.98,0,0,0,8.83,0,9.82,0,0.98,34.36,0.98,0,0,0,4.91,0,0,4.91,1.96,0,5.89,0
 84-94,0,0,3.19,1.06,0,2.12,9.56,0,2.12,0,0,0,0,0,14.87,0,4.25,0,1.06,9.56,0,0,0,0,4.25,0,0,1.06,0,2.12,7.43,0
 96-106,0,1.09,1.09,0,0,2.19,2.19,1.09,2.19,0,0,1.09,0,0,16.39,0,7.65,0,0,9.84,0,1.09,0,0,2.19,0,0,1.09,0,1.09,10.93,1.09
108-118,0,0,0.77,1.53,0,5.36,2.3,1.53,3.83,0,0,0.77,0,0,20.68,0,6.13,0,0.77,11.49,0,0,0,0.77,2.3,0,0,2.3,0,0.77,6.89,0
120,0,0,1.96,0,1.96,3.92,3.92,0,3.92,0,0,0,0,1.96,13.72,0,3.92,0,0,17.64,0,0,0,0,5.88,0,0,0,0,0,1.96,0
