stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,gut,immune,lateral_line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,0,1.61,0.81,0.81,0,0,0
 48-58,0,0,0,0,1.72,0,0,0,0,0,0,0.57,0,0,0,0.57,0
 60-70,0.98,1.96,0,0,0.98,0,0,0,0,0.98,0,0.98,0,0,0,0,0
 72-82,0,1.96,1.96,2.94,1.96,1.96,0,0.98,0,0.98,0.98,0,0,0,0,0,0
 84-94,0,2.12,12.74,0,2.12,2.12,0,1.06,0,0,0,1.06,0,0,0,0,0
 96-106,0,1.09,18.58,0,0,0,0,0,1.09,3.28,0,2.19,0,0,0,0,0
108-118,0.77,0,27.57,0.77,1.53,2.3,0.77,0.77,0,0.77,0.77,1.53,0,0,0.77,0,0.77
120,0,0,3.92,0,1.96,5.88,1.96,0,0,0,0,3.92,0,0,0,0,0
