stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,5.26,0,0,0,0,0,0,0
 10-12,3.15,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,37.76,3.15,0,0,22.03,0,0,0,0,0,0,0
 14-21,0,0,1,1,48,1,3,0,0,0,12,0,0,0,0,0,0,0,0,11,0,2,99,2,1,0,0,0,2,6,71,0,0,0
 24-34,0,0,0,0.82,11.49,0,3.28,0,0.82,0,23.8,0.82,0,2.46,0,0,0,0,0.82,17.24,0,8.21,304.54,0,0.82,0.82,0,0,0,2.46,99.32,0,0,0
 36-46,0,0,0,0,3.22,0,10.47,0,0,0,13.7,0,0,0.81,0,0,0,0,0,41.89,0,16.11,533.35,0,1.61,0.81,0,0,0,0,120.85,0,0,0
 48-58,0,0,0,0,2.3,0,23.53,0,0,0.57,18.94,0,0,0.57,0,0.57,0,0.57,0,48.2,0.57,5.74,513.56,0,0.57,0.57,0,1.15,0,0,93.53,0,0.57,0
 60-70,0,0,0,0,0.98,0,28.46,1.96,0,0.98,19.63,0,0,0.98,0.98,0,0.98,0,0,41.22,0,1.96,480.95,0,0,1.96,0,0.98,0,0,51.04,0,0,0
 72-82,0,0,0,0,1.96,0,34.36,0,0,0,22.58,0,0,0,0,0.98,0,0.98,0,54.97,0.98,2.94,453.53,0,0.98,1.96,0,0,0,0,43.19,0,0,0.98
 84-94,0,0,0,0,3.19,1.06,38.23,0,1.06,0,19.12,1.06,0,0,1.06,0,0,1.06,0,46.73,0,2.12,249.58,0,1.06,0,0,1.06,0,0,23.36,0,0,0
 96-106,0,0,0,0,1.09,0,24.04,0,0,0,20.76,1.09,0,0,1.09,0,0,0,0,31.69,0,0,209.83,0,0,0,0,1.09,0,0,7.65,0,1.09,0
108-118,0,0,0,0,0.77,0.77,22.21,0,0,0,13.02,0,0,0,0,0.77,0,0,0,26.81,0,0.77,198.38,0,0.77,0,0,0,0,0,3.06,0,0.77,0
120,0,0,0,0,1.96,0,13.72,0,0,0,5.88,0,0,0,0,0,0,1.96,1.96,25.48,0,0,219.5,0,0,0,0,0,0,0,3.92,1.96,1.96,0
