stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0
 24-34,0,0,12.31,0,0,0,0,0,0,0,0,0,6.57,0,0,0,0,2.46,0,1.64,0,0,0.82,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0.81,0,0,1.61,0,0,1.61,0.81,0.81,0,0,0
 48-58,0,0,2.3,0,0.57,0.57,0,0,0,0,0,0,1.72,0,0,1.72,0.57,1.72,0,1.15,0,0,0,0
 60-70,0,0,10.8,0,1.96,3.93,0,0,0,0,0,2.94,12.76,0,0,0.98,0,0.98,5.89,0,0,0,0,0
 72-82,0,0.98,9.82,0,0,0.98,0.98,0,0,0,3.93,2.94,13.74,0,0,0.98,0.98,1.96,1.96,0,0,0,0,0
 84-94,0,1.06,29.74,0,0,2.12,0,0,0,0,2.12,3.19,7.43,0,0,0,2.12,1.06,7.43,2.12,0,1.06,0,0
 96-106,0,0,80.87,0,1.09,14.21,2.19,0,0,0,5.46,1.09,17.49,1.09,0,8.74,0,3.28,16.39,2.19,1.09,0,0,1.09
108-118,0,0,50.55,0,1.53,10.72,1.53,2.3,0.77,0,2.3,0.77,22.21,0.77,0.77,3.83,2.3,3.06,11.49,0.77,0,0,0,0
120,0,1.96,48.99,0,1.96,3.92,0,1.96,0,1.96,1.96,0,3.92,1.96,0,3.92,1.96,1.96,13.72,0,0,0,0,0
