stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,165.5,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,21.03,7.89,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,31.47,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,18.88,0,47.2,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,5,0,0,1,0,0,0,3,0,0,0,0,7,9,0,6,20,1,0,0,0,10,5,18,6,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0.82,0,0,0.82,0.82,0,0,0,0,10.67,3.28,0,0,16.42,0.82,0,0,0,0,42.68,0.82,3.28,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,5.64,0,0,0.81,0.81,0,0,0,0,9.67,3.22,0,1.61,10.47,0,0,0,0,0,43.51,0,2.42,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,6.89,0,0,0.57,2.87,0,0,0,0,14.92,1.72,0,0,6.89,0,0,0,0,0,24.1,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,14.72,0,0,6.87,4.91,0,0.98,0,0,22.58,4.91,0,0,6.87,0,0,0,0,0,28.46,0,0.98,0,0,0,0,0
 72-82,0,0,4.91,0,1.96,0,0,23.56,0,0,6.87,13.74,0,0.98,0,0,83.44,10.8,0.98,0,14.72,0,0,0,0.98,0,57.92,0,0.98,0,0,0,0.98,0.98
 84-94,0,0,2.12,0,0,0,3.19,12.74,1.06,0,5.31,28.68,0,1.06,0,0,276.13,7.43,0,1.06,12.74,0,1.06,0,1.06,0,111.51,0,0,0,0,0,0,0
 96-106,0,0,4.37,0,3.28,1.09,5.46,8.74,0,1.09,12.02,53.55,0,1.09,1.09,0,410.91,14.21,0,0,50.27,0,1.09,0,4.37,0,128.96,0,1.09,0,1.09,2.19,1.09,1.09
108-118,0,0,3.06,0,1.53,2.3,2.3,11.49,0,0,6.13,42.13,0,1.53,0,0.77,656.43,3.06,0,2.3,38.3,0.77,0,0,1.53,0,117.19,0,0,0.77,0,1.53,0,0
120,0,0,0,1.96,0,1.96,5.88,7.84,0,0,15.68,31.36,0,3.92,0,0,233.21,9.8,0,0,17.64,0,0,0,1.96,0,54.87,0,1.96,0,0,1.96,1.96,0
