stage,erythrocytes,eye,fast_muscle,immune,mesenchyme,muscle,neural,otic,periderm,slow_muscle,spinal_cord
 14-21,0,0,0,0,0,0,0,0,0,2,0
 24-34,0,1.64,0,0,0.82,1.64,2.46,0,0,1.64,0
 36-46,0,0,1.61,0,0,0,2.42,0.81,0,0.81,0
 48-58,0,0.57,3.44,0,0,0.57,1.72,0.57,0,1.15,0
 60-70,0,1.96,0.98,0,0,0,0.98,0,0,0,0.98
 72-82,0,0.98,1.96,0,0,0,2.94,0,0,0,0
 84-94,1.06,0,5.31,0,1.06,2.12,0,0,0,0,0
 96-106,1.09,1.09,2.19,1.09,1.09,0,0,0,1.09,0,0
108-118,0,0.77,3.06,0,0.77,0,0.77,0,0.77,1.53,0
120,0,0,3.92,0,0,1.96,1.96,0,0,1.96,0
