stage,epidermis,eye,glial,immune,iridophores,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0
 24-34,0,0,0,0,0,0,0,0.82,0.82,0,0,0
 36-46,0,0.81,0,0,0,0.81,0,3.22,0,0,0.81,0
 48-58,0,0.57,0,0,0,0,0,1.15,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0.98,0,0,0,0
 72-82,0,0.98,0.98,4.91,0,0.98,0,1.96,0,0,0,0.98
 84-94,1.06,0,1.06,3.19,1.06,1.06,0,2.12,0,0,0,1.06
 96-106,0,3.28,0,8.74,0,1.09,0,0,0,0,1.09,0
108-118,0,0.77,0.77,12.26,0,1.53,0,3.06,0,0,0,0
120,0,0,0,11.76,0,0,0,0,0,0,0,0
