stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,2,0,0,0,4,0,0,0,1,3,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,16.42,2.46,0.82,0,0,0.82,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,0,49.95,0,1.61,0,0,8.06,0,0,0
 48-58,0,0,0,0,4.59,0.57,0,0,0,0,1.15,0,0,0,58.53,3.44,0.57,0,0,6.89,0,0,0
 60-70,0,0,0,0,21.59,0,0.98,0,1.96,0,1.96,0,0,0,128.58,0.98,1.96,0,0,8.83,0,0,0
 72-82,0,0,0.98,0,47.12,8.83,0,0,0,0,0.98,0,0.98,0,171.79,4.91,1.96,0,0,8.83,0.98,0,0
 84-94,0,0,1.06,0,29.74,7.43,0,0,0,0,2.12,0,0,1.06,74.34,2.12,3.19,0,0,7.43,0,0,0
 96-106,0,0,1.09,0,27.32,6.56,0,0,0,0,2.19,0,0,0,64.48,3.28,2.19,0,0,5.46,0,0,1.09
108-118,0,0,0.77,0,22.98,3.06,0,0.77,0,0,0.77,0,0,0,60.51,1.53,0.77,0,0,1.53,0,0.77,0
120,0,0,0,1.96,33.32,7.84,1.96,0,0,1.96,3.92,1.96,1.96,0,97.99,3.92,0,1.96,0,7.84,0,0,0
