stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395.34,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,386.17,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.52,7.89,0,0,63.09,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,18.88,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.97,12.59,0,0,78.67,6.29,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,8,93,31,0,13,0,0,0,4,4,2,0,3,1,1,8,0,0,13,135,4,2,45,4,28,0,15,4,0,10,35,0,0,10,0
 24-34,0,0,0,4.1,16.42,7.39,0,11.49,2.46,1.64,0.82,1.64,0.82,1.64,1.64,1.64,9.85,0.82,26.27,0.82,0,9.85,81.26,2.46,5.75,28.73,0,10.67,0,0,5.75,0,11.49,13.13,0,0,36.94,0
 36-46,0,0,0,0,5.64,0,0,5.64,16.11,0,0,5.64,0,2.42,2.42,0,2.42,1.61,19.34,0,0,9.67,27.39,0.81,1.61,11.28,0,2.42,0.81,0,4.03,0,0,4.83,0,0,16.11,0
 48-58,0,0,0,0.57,2.3,0,0,6.89,22.95,0.57,1.15,6.89,0,2.87,5.16,0,1.15,1.15,41.89,0,0,4.59,25.82,0.57,0,5.74,0,2.3,0,0,0.57,0,0,2.87,0,0,5.74,0
 60-70,0,0,0,0,2.94,0,0,8.83,17.67,0,0,18.65,0.98,3.93,11.78,0,4.91,2.94,42.21,0,0.98,1.96,16.69,0,0.98,2.94,0,0.98,0,0,0.98,0,0,0.98,0,0.98,3.93,0
 72-82,0,0,0,0,1.96,0,0,11.78,7.85,1.96,0,19.63,0.98,1.96,8.83,0.98,3.93,1.96,43.19,0,0,0,25.52,0,0,4.91,0,1.96,0,0,2.94,0,0,4.91,0.98,0,3.93,2.94
 84-94,0,0,0,0,9.56,2.12,3.19,6.37,9.56,1.06,0,22.3,3.19,2.12,35.05,0,4.25,5.31,33.99,1.06,1.06,2.12,14.87,0,2.12,4.25,0,3.19,0,0,5.31,0,0,1.06,0,0,4.25,0
 96-106,0,0,0,0,6.56,0,0,17.49,14.21,1.09,0,33.88,1.09,4.37,29.51,1.09,5.46,3.28,27.32,0,0,2.19,25.14,0,0,4.37,0,5.46,0,0,1.09,0,0,2.19,1.09,2.19,7.65,0
108-118,0,0,0.77,0,8.43,1.53,8.43,6.13,39.83,1.53,0,35.23,0,3.06,29.87,0,1.53,5.36,18.38,0,0,7.66,31.4,0.77,1.53,4.6,0,0,0,0,2.3,0.77,0,2.3,1.53,0,1.53,0
120,0,0,0,0,7.84,1.96,1.96,11.76,25.48,0,0,64.67,0,0,25.48,1.96,1.96,3.92,21.56,0,0,9.8,50.95,0,1.96,0,0,3.92,0,0,0,0,0,5.88,0,0,1.96,0
