stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,glial,gut,ionocyte,lateral.line,liver,mesenchyme,mucous,neural,notochord,periderm,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0.82,0,0
 36-46,0,0.81,0,0.81,0,0.81,0,0,0,0,0,0,0.81,0.81,4.03,0,0
 48-58,0,0,0,0.57,0,0.57,0,0,0,0,0,0,1.15,0,0.57,0,0
 60-70,0,0.98,0.98,3.93,0,0,0.98,0,0,0,0.98,0,2.94,0,5.89,1.96,0
 72-82,0,0,0,0.98,0,0.98,0,0,0,0,3.93,0,2.94,0,0,0,0
 84-94,0,1.06,0,0,0,0,0,0,0,2.12,0,0,0,0,12.74,0,1.06
 96-106,0,1.09,0,0,0,0,0,0,0,0,2.19,1.09,2.19,0,6.56,1.09,0
108-118,0.77,0.77,0,0,0,0,0,0.77,0,0.77,0,0,0,0,6.89,0,0
120,0,0,0,0,1.96,0,5.88,0,1.96,0,0,0,1.96,0,9.8,0,0
