stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,40.91,6.29,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,12,1,0,8,0,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,7,74,2,0,0,4,1,4,1,1,11,32,0,0,3,0,0
 24-34,0,0,0.82,0,4.93,1.64,0,18.88,0,0.82,0,6.57,0,0,0.82,0.82,3.28,0,0,0.82,2.46,20.52,1.64,0,7.39,247.9,2.46,4.1,1.64,0,5.75,0,0.82,0,4.93,68.95,0,0,10.67,0,3.28
 36-46,0,0,0,0.81,2.42,0,0,45.92,0,0.81,0.81,10.47,0.81,0,0.81,0.81,0,0.81,0,0,8.06,28.2,0,0.81,9.67,372.22,1.61,4.83,0.81,0,4.03,0,0,0,0,104.74,0,0.81,5.64,0,0.81
 48-58,0,0,0,0,3.44,0,0,84.92,0.57,0.57,4.02,18.36,0,0.57,2.3,0,0.57,0,0.57,0,5.74,26.97,0.57,1.72,6.89,359.2,0.57,2.3,1.15,0,3.44,0,0,0,0,60.82,0,0,4.02,0,1.72
 60-70,0,0,0,0,2.94,0.98,0,153.12,0.98,2.94,4.91,23.56,0.98,0,0.98,2.94,0,2.94,0.98,0.98,6.87,31.41,0.98,0,1.96,420.09,0.98,4.91,1.96,0,3.93,0,0,0,0,54.97,0,0.98,0.98,0,5.89
 72-82,0,0,0.98,0,7.85,0,0,100.13,0.98,0,10.8,30.43,1.96,0,0.98,0,0.98,0.98,0.98,0,3.93,50.06,0.98,0.98,3.93,280.76,0,1.96,1.96,0,3.93,0,0,0,0,18.65,0,0,11.78,1.96,3.93
 84-94,0,0,1.06,1.06,8.5,1.06,0,66.91,0,2.12,1.06,20.18,5.31,0,0,8.5,2.12,2.12,0,1.06,11.68,33.99,3.19,3.19,8.5,157.18,1.06,3.19,4.25,0,14.87,0,0,0,0,20.18,1.06,4.25,14.87,0,3.19
 96-106,0,0,0,0,6.56,2.19,0,54.64,0,2.19,1.09,14.21,0,0,0,5.46,1.09,2.19,2.19,0,4.37,22.95,3.28,2.19,1.09,113.66,0,2.19,4.37,0,6.56,0,0,0,0,8.74,0,0,5.46,2.19,3.28
108-118,0,0,0,0,6.13,0.77,0.77,41.36,0.77,1.53,1.53,9.96,3.83,0,0,2.3,1.53,6.13,1.53,0.77,4.6,17.62,0.77,0.77,3.06,121.02,1.53,3.06,3.06,0,12.26,0,0.77,0,0,6.89,0.77,0,5.36,0,1.53
120,0,0,0,0,9.8,0,0,37.24,0,0,0,17.64,7.84,0,1.96,3.92,0,0,0,1.96,3.92,25.48,0,0,0,105.83,5.88,3.92,3.92,0,17.64,0,0,0,0,5.88,0,1.96,3.92,0,1.96
