stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,487.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,680.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,23.66,0,34.17,0,0,21.03,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,318.07,18.4,0,0,134.06,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,9.44,0,3.15,25.18,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,261.2,15.73,0,0,119.58,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,64,11,14,0,0,11,5,0,0,0,3,0,0,0,0,25,0,0,18,345,15,3,7,13,0,4,47,5,2,44,99,0,0,2,0,0
 24-34,0,0,0.82,0.82,5.75,2.46,16.42,0,0,9.85,0.82,0,0.82,0,0,0.82,0,0,0,24.63,0,0,9.03,187.98,0.82,4.1,0.82,0,0,0,0.82,0,0,3.28,47.61,0,0,8.21,0,0.82
 36-46,0,0,0,0,4.03,0.81,41.89,0.81,1.61,6.45,0.81,0,0,0,0,0.81,1.61,0.81,1.61,45.12,0,0.81,16.92,242.51,0,11.28,0.81,0,0,1.61,0,0.81,0,0,49.15,0,0,4.03,0,0
 48-58,0,0,0,0,5.16,0.57,97.55,0,2.3,20.66,0,0,0.57,0.57,0,1.15,1.15,0,0,66.56,0,2.87,14.35,241,0,13.2,2.3,0,0,1.15,0,0,0,0,48.2,0,0.57,13.77,0,0
 60-70,0,0,0,0,3.93,0.98,133.49,0,2.94,9.82,0.98,0,0.98,0,0,0.98,0.98,0,0,84.41,0,3.93,6.87,342.55,0.98,8.83,0.98,0,0,0.98,0,0,0,0,28.46,0.98,0.98,8.83,0,0.98
 72-82,0,0,0,0,1.96,7.85,45.16,0,2.94,15.71,0,0,0,0,0,0,0,0,0,37.3,0.98,0,3.93,146.27,0.98,17.67,4.91,0,0,0.98,0,0,0,0,8.83,0,0,9.82,0,1.96
 84-94,0,0,0,0,3.19,1.06,22.3,0,0,8.5,0,1.06,0,1.06,0,0,1.06,0,1.06,21.24,0,1.06,7.43,30.8,0,1.06,0,0,0,0,0,0,0,0,4.25,0,0,8.5,0,0
 96-106,0,0,0,0,4.37,6.56,17.49,0,0,3.28,0,0,2.19,5.46,0,0,1.09,0,0,33.88,0,1.09,2.19,29.51,0,9.84,1.09,0,0,0,0,0,0,0,1.09,0,2.19,9.84,1.09,0
108-118,0,0,0,0,2.3,2.3,13.79,0.77,0,0.77,0.77,0,0,0.77,0.77,0,0.77,0,0,16.85,0,0,0,33.7,0,7.66,0,0,0.77,0,0,0,0,0,0,0,0,6.13,0.77,0.77
120,0,0,0,0,1.96,3.92,11.76,1.96,3.92,3.92,0,0,0,1.96,0,0,1.96,0,0,11.76,0,3.92,1.96,74.47,0,15.68,0,0,0,1.96,0,1.96,0,0,3.92,0,0,9.8,0,1.96
