stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.41,2.63,0,0,34.17,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,18.88,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.03,6.29,0,0,44.06,0,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,0,4,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,24,2,0,0,1,0,2,1,1,2,14,0,0,0,0
 24-34,0,0,0,2.46,0,0,5.75,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,4.1,45.97,0.82,0,0,0,0.82,0,0,0,0,8.21,0,2.46,0,0
 36-46,0,0,0,0,0,0,14.5,0,0,0.81,0,0,0,0,0,0,0,0,0,8.06,0,0.81,37.87,0,0,0,0,0.81,0,0,0,0,11.28,0,1.61,0,0
 48-58,0.57,0,0,0,0,0,15.49,0,0,3.44,0,0.57,0.57,0,0,0.57,0,0,0,9.18,0,1.15,37.87,0,0,0.57,0,1.72,0,0,1.15,0,9.75,0,1.72,0,1.15
 60-70,0,0,0,0.98,0,0,25.52,0,0.98,3.93,0,0.98,0.98,0.98,0,0,0,0,0,8.83,0,0.98,37.3,0,0,0,0,0,0,0,0,0,3.93,0,1.96,0,0
 72-82,0,0,0,0.98,1.96,0,20.61,0,0,4.91,0,1.96,0,0.98,0.98,0,0,0,0,12.76,0,0.98,32.39,0,0,0,0,2.94,0,0,0,0,2.94,0,3.93,0.98,0.98
 84-94,0,0,0,0,0,0,9.56,0,1.06,1.06,1.06,0,0,3.19,1.06,0,1.06,0,0,7.43,0,1.06,27.61,0,0,2.12,0,5.31,0,0,0,0,2.12,0,0,0,0
 96-106,0,0,0,0,2.19,0,7.65,0,0,3.28,1.09,0,1.09,0,1.09,0,0,0,0,4.37,1.09,2.19,16.39,1.09,1.09,1.09,0,4.37,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,2.3,0.77,0.77,10.72,0.77,0,4.6,0.77,0,0,3.06,1.53,0.77,0,0.77,0.77,6.89,0.77,2.3,21.45,0,1.53,0,0,3.83,0,0,0,0,0.77,0,0.77,0.77,0.77
120,0,0,0,3.92,0,0,15.68,1.96,0,3.92,0,0,0,0,0,0,1.96,0,0,3.92,0,1.96,29.4,0,3.92,0,0,5.88,0,1.96,0,0,1.96,1.96,0,0,1.96
