stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal.cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,9.03,0,0,0,0,0,4.93,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,2.42,6.45,0,0,0,0,0,2.42,0
 48-58,0,0,0,0,0,1.72,0,0,10.9,0,0,1.15,0,0,0,0,2.87,0,0,2.87,1.72,0,0,0,0.57,0,1.72,1.15
 60-70,0,0,0,0,0,4.91,0,0,51.04,0,0,0.98,0.98,0,0,0,15.7,0,0,4.91,0.98,0,0,0,0,3.93,1.96,3.93
 72-82,0,0,0,0.98,0,7.85,0,0,106.02,0,0,0.98,1.96,0.98,0.98,0,33.38,0,0,16.69,0.98,0.98,0,0,0.98,1.96,1.96,7.85
 84-94,0,0,2.12,1.06,0,10.62,1.06,2.12,108.33,1.06,0,6.37,1.06,0,0,0,50.98,0,0,12.74,0,0,0,1.06,1.06,2.12,6.37,8.5
 96-106,0,0,7.65,2.19,0,20.76,2.19,1.09,112.56,0,1.09,4.37,0,0,0,0,49.18,1.09,2.19,28.41,0,0,1.09,0,5.46,1.09,5.46,13.11
108-118,0,0,0.77,0.77,0.77,6.89,0,0,117.96,0,0,2.3,2.3,0,0,1.53,36,0,0,8.43,0,0,0,0,1.53,0.77,3.06,17.62
120,0,0,1.96,0,0,13.72,3.92,0,129.35,0,0,1.96,0,0,1.96,0,11.76,0,3.92,9.8,0,3.92,0,1.96,0,7.84,3.92,7.84
