stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,6.13,0,6.13,0,0,6.13,0,0,0,0
  7-9,7.89,0,5.26,0,0,0,10.51,0,15.77,5.26,0,34.17,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,1.64
 36-46,0,0,0,0,0,0,0,0,4.03,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,2.3,0,0,0.57,1.15,0,0,0,0.57,0,0,0.57
 60-70,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,9.82,0.98,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,5.31,0,0,0,2.12,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,4.37,0,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,3.06,0,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,3.92,0,0,1.96,0,0,1.96,0,0,0,0,0
