stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,pericytes,periderm,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,7,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,12,0,0
 24-34,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,2.46,0,0
 36-46,0,0.81,0,0,0,0,0,0,11.28,0,0,0,0,0,2.42,0,0,4.03,0.81,0
 48-58,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,1.15,0,0.57
 60-70,0,4.91,0,0,1.96,0,0.98,0,9.82,0,0.98,1.96,0,0,0,0,0,4.91,0,0
 72-82,0,0.98,0,0,0,0,0,0,6.87,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,3.19,1.06,0,0,0,0,0,7.43,0,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,2.19,1.09,1.09,1.09,1.09,1.09,1.09,16.39,0,1.09,3.28,0,1.09,0,0,0,1.09,0,1.09
108-118,0,0,3.06,0.77,0,0,0.77,0,15.32,1.53,0,1.53,0,0,0.77,0,0.77,0,0,5.36
120,0,1.96,1.96,0,0,0,0,0,29.4,0,0,0,0,0,0,0,0,0,0,3.92
