stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,pgc,spinal_cord,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,29,1,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0.82,0,0.82,0,0,0,7.39,0,0,46.79,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,2.42,0,0.81,0,0.81,0,0,23.36,0,0.81,0
 48-58,0,0,0.57,0,2.3,0,0.57,0,0,0,0.57,0.57,0,0,0,1.15,0.57,0,8.03,0,5.16,0
 60-70,0,0,0.98,0,13.74,0.98,5.89,0,0,0.98,1.96,0,0,0,0,1.96,0.98,0,5.89,0,0.98,0
 72-82,0,0,4.91,0,12.76,0,7.85,0,0.98,0,7.85,4.91,0,0.98,0.98,4.91,0,0,4.91,0,0.98,0
 84-94,0,0,5.31,0,15.93,0,6.37,0,0,1.06,6.37,1.06,0,0,0,0,0,1.06,23.36,0,1.06,0
 96-106,0,0,13.11,0,26.23,0,10.93,2.19,0,7.65,4.37,0,0,0,0,3.28,0,1.09,6.56,0,2.19,1.09
108-118,0,0,19.92,0,30.64,0,5.36,1.53,0,3.83,13.02,0,1.53,0,0,2.3,0,0.77,6.89,0,0.77,0
120,0,0,7.84,1.96,11.76,0,7.84,0,0,1.96,7.84,5.88,0,0,0,5.88,0,1.96,9.8,0,0,0
