stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,3.15,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,3,0,1,0,0,25,0,0,0,0,0,0,0,4,0,4,32,0,0,4,2,0,1,18,2,73,0,0,0
 24-34,0,0,0,0,0,0,7.39,0,0,18.88,0,0,0,0,0,0,0,3.28,0,2.46,51.71,0,11.49,0.82,0,0.82,0,2.46,0,59.92,0,2.46,0
 36-46,0,0,0,0,0,0,2.42,0,0,7.25,0,0,0,0,0,0,0.81,1.61,0,0.81,53.98,0,2.42,0,0,0.81,0,0,0,22.56,0,0.81,0
 48-58,0,0,0,0,0,0,4.59,0.57,0,11.48,0,0,0,0,0,0,0.57,4.02,0,0.57,85.5,0,5.16,0.57,0,0.57,0,0.57,0,32.13,0,0,0.57
 60-70,0,0,0,0,0.98,0,13.74,0,0,11.78,0,0,0.98,0,0,0.98,0.98,7.85,0,0,111.89,0,4.91,1.96,0,0.98,0,0,0,20.61,0,0.98,2.94
 72-82,0,0,0,0,0,0.98,12.76,0,0,19.63,2.94,0,0,0,0.98,0,0,8.83,0,0.98,84.42,0,13.74,3.93,0,0.98,0,0.98,0,4.91,0,0.98,0
 84-94,0,0,1.06,0,0,0,4.25,0,0,7.43,0,0,0,0,0,1.06,2.12,5.31,1.06,2.12,33.99,0,1.06,7.43,0,2.12,0,3.19,0,9.56,0,1.06,0
 96-106,0,0,0,1.09,2.19,0,3.28,0,0,7.65,1.09,1.09,0,0,0,1.09,0,2.19,0,1.09,28.41,0,1.09,7.65,0,1.09,0,1.09,0,2.19,2.19,2.19,0
108-118,0,0,0.77,1.53,0,0,1.53,0,0.77,5.36,0,0,1.53,0,0.77,0.77,0,6.13,0.77,2.3,40.6,0,6.89,3.83,0,0,0,1.53,0,4.6,0,0,0
120,0,0,0,3.92,1.96,0,3.92,0,0,3.92,0,0,1.96,1.96,0,0,0,3.92,5.88,0,54.87,0,13.72,0,0,1.96,0,1.96,0,0,0,0,0
