stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,ionocyte,mesenchyme,mucous,neural,otic,periderm,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0.81,0
 48-58,0,0,0,0.57,0.57,0,0,0,1.72,0,4.59,0.57
 60-70,0,0,0,0,0,0,0,0.98,0.98,0,5.89,0
 72-82,0,0,0.98,0,0.98,0,0,0,2.94,0.98,4.91,0
 84-94,0,0,0,1.06,1.06,0,0,0,0,0,21.24,1.06
 96-106,0,0,0,0,0,0,0,1.09,2.19,0,16.39,0
108-118,0,0,1.53,0,0,0.77,0.77,0,0.77,0,16.09,0
120,0,0,5.88,0,0,0,0,1.96,0,0,9.8,0
