stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,2.63,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,15.73,0,3.15,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.17,9.44,0,0,25.18,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8,87,24,9,0,2,0,2,4,0,6,0,1,0,0,1,0,46,0,0,25,76,8,0,5,2,0,1,3,9,4,26,27,0,0,13,0,1
 24-34,0,0,0,3.28,25.45,4.1,21.34,0,10.67,1.64,6.57,2.46,0,8.21,0,1.64,0.82,1.64,3.28,9.85,66.49,0.82,1.64,32.83,79.62,3.28,0.82,5.75,0,0,5.75,0.82,7.39,0,3.28,25.45,0,0,32.01,0,4.1
 36-46,0,0,0,0,13.7,1.61,8.86,1.61,10.47,2.42,19.34,3.22,0,8.06,1.61,0,2.42,0.81,0.81,6.45,92.65,0.81,2.42,33.84,83.79,1.61,0,4.83,0,0,7.25,0,1.61,0,0,47.53,0,0,29,0,12.89
 48-58,0,0,0,0,9.75,0.57,31.56,1.72,6.31,6.89,27.54,0.57,0.57,11.48,2.87,0,5.74,2.3,0.57,10.33,105.58,0,6.31,28.69,49.35,0.57,0.57,8.03,0,0.57,16.07,0.57,3.44,0,0,19.51,0,0.57,30.99,0.57,11.48
 60-70,0,0,0,0,18.65,0,43.19,2.94,10.8,5.89,51.04,1.96,0,7.85,11.78,1.96,7.85,4.91,0,4.91,127.6,0.98,10.8,24.54,46.13,0.98,0,2.94,0,5.89,25.52,0,2.94,0,0,21.59,0,7.85,23.56,0,12.76
 72-82,0,0,0.98,0,19.63,0,45.16,1.96,7.85,6.87,82.46,3.93,0.98,4.91,5.89,2.94,9.82,6.87,2.94,8.83,162.96,1.96,18.65,28.47,53.01,0,0.98,8.83,0,2.94,39.27,0,3.93,0.98,0,6.87,0.98,6.87,49.08,6.87,10.8
 84-94,1.06,0,0,0,37.17,1.06,33.99,1.06,19.12,6.37,36.11,6.37,0,7.43,14.87,3.19,10.62,2.12,1.06,15.93,110.45,1.06,12.74,16.99,39.3,4.25,2.12,12.74,0,3.19,117.89,0,9.56,0,0,10.62,1.06,7.43,37.17,6.37,14.87
 96-106,0,0,0,0,27.32,1.09,42.62,1.09,32.79,3.28,60.11,7.65,0,14.21,18.58,6.56,18.58,6.56,2.19,6.56,124.58,0,17.49,16.39,38.25,4.37,2.19,8.74,0,6.56,128.96,0,0,2.19,0,12.02,0,8.74,50.27,9.84,25.14
108-118,0,0,0,0,40.6,1.53,30.64,0,18.38,3.83,46.72,6.89,0,6.13,19.15,3.83,23.74,2.3,3.06,20.68,99.58,3.06,10.72,13.02,42.89,8.43,0.77,6.89,0,3.83,70.47,0,5.36,0,0,5.36,0,5.36,39.83,9.19,16.09
120,0,0,1.96,0,54.87,1.96,19.6,1.96,15.68,1.96,35.28,1.96,0,7.84,25.48,1.96,5.88,1.96,1.96,3.92,90.15,0,15.68,13.72,37.24,7.84,3.92,3.92,0,9.8,94.07,0,1.96,1.96,0,1.96,0,1.96,21.56,1.96,17.64
