stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,6.29,0,9.44,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,178,0,3,0,0,0,17,0,7,0,0,1,0
 24-34,0,0,8.21,0,0.82,46.79,0.82,0,0,0,0,0,0,0,0,0,0,0,0,2.46,35.3,0,0,0,0,0,0,0,3.28,0.82,0,0,0
 36-46,0,0,8.06,0,0,32.23,0.81,0,0,0,0,0,0,0,4.03,0,0.81,0,0,6.45,20.14,1.61,0,0,0,0,0,0,0,0.81,0,0.81,0
 48-58,0,0,25.25,0,0,34.43,0,0.57,0,0,0,0,0,0,4.02,1.15,0,0,0,5.16,7.46,0,0,0,0,0,0,0,0,1.15,0,0,0
 60-70,0,0,74.6,0,0.98,38.28,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0,9.82,6.87,0,0,0,1.96,0,0,0,0,2.94,1.96,0,0
 72-82,0,0,160.99,0,4.91,19.63,0.98,4.91,0,0,0,0.98,0,0,0,9.82,0.98,0.98,1.96,13.74,3.93,0,0,0.98,0,0,0,0,0,0.98,0.98,0,0.98
 84-94,0,0,279.32,0,7.43,58.41,1.06,1.06,0,0,0,6.37,0,1.06,1.06,6.37,1.06,1.06,1.06,7.43,5.31,0,0,0,1.06,0,0,0,0,0,4.25,0,0
 96-106,0,0,383.59,0,17.49,49.18,2.19,4.37,1.09,0,0,1.09,0,1.09,2.19,6.56,5.46,0,0,20.76,3.28,2.19,0,0,0,0,0,0,0,0,1.09,1.09,1.09
108-118,0.77,0,335.49,0.77,9.19,69.7,1.53,3.06,0.77,0,0.77,3.06,0.77,0,0.77,6.13,4.6,0,0.77,12.26,11.49,0,0,0.77,0,0.77,0,0.77,0,1.53,2.3,0.77,0
120,0,0,197.94,0,3.92,39.2,0,5.88,0,0,0,0,1.96,0,0,7.84,7.84,1.96,0,13.72,5.88,0,0,0,1.96,0,0,0,0,0,0,0,0
