stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,otic,periderm,spinal.cord,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0.82,0,10.67,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0.81,0,11.28,0.81,0
 48-58,0,0.57,0,0,0,0,0.57,0,0,0,0,0,0,7.46,0.57,0
 60-70,0.98,0,0,0,0,0,0,0,0,0,0,1.96,0,13.74,0.98,0
 72-82,0.98,0,0,0,0.98,0,0,0.98,0,0,0,0.98,0.98,15.71,0,0
 84-94,1.06,0,0,1.06,0,0,1.06,0,1.06,0,0,1.06,0,45.67,0,0
 96-106,2.19,1.09,0,0,1.09,0,0,0,0,0,0,0,0,53.55,1.09,0
108-118,2.3,0,0,0,0.77,0.77,0,0.77,1.53,0.77,0,0,0,39.06,0,0
120,3.92,0,0,0,0,0,0,0,0,0,0,0,0,15.68,0,1.96
