stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,mesenchyme,muscle,neural,olfactory,otic,spinal_cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,2.63,0,0,7.89,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,4,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,48.43,0,0.82,11.49,0
 36-46,0,0,0,0,4.83,0,0,0,0,0,0,0,88.62,2.42,0,17.72,0
 48-58,0,0,0,0.57,17.21,0.57,0,4.59,0,0,0.57,0,114.19,0.57,0,20.66,0
 60-70,0,0,0,0,62.82,0,0,7.85,0,0,0,0,172.75,0.98,0,20.61,0
 72-82,0,0,0,0,54.97,0,0,8.83,0,0,0.98,0,125.65,0.98,0,6.87,0.98
 84-94,0,0,0,1.06,46.73,0,0,7.43,0,0,1.06,1.06,47.79,0,0,6.37,0
 96-106,0,0,0,0,26.23,0,0,4.37,1.09,0,1.09,0,39.34,0,0,4.37,0
108-118,0,0,0,0.77,18.38,0,0,1.53,0,0,1.53,0,48.26,0,0,0.77,0
120,0,0,0,1.96,23.52,0,1.96,1.96,0,0,0,0,62.71,1.96,0,1.96,0
