stage,blastomeres,eye,fast_muscle,glial,heart,immune,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,presomitic_mesoderm,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,2.63,0,2.63,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,4,0,3,0,0,0,1,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0.82,4.1,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,8.06,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0.57,0,0,0,0,0.57,0.57,2.3,0,0,0,0,0,0,0,0,0
 60-70,0,1.96,0.98,0,0.98,0,0.98,8.83,0,4.91,0,0.98,0,0,0,0,0,0,0.98
 72-82,0,0,0,1.96,0,0,0,3.93,0,3.93,0,0,0,0,0,0,0,0.98,0
 84-94,0,1.06,0,0,1.06,0,0,4.25,0,4.25,0,0,0,0,0,0,1.06,0,0
 96-106,0,2.19,0,0,0,0,0,1.09,1.09,0,0,0,0,0,0,0,0,1.09,0
108-118,0,1.53,0.77,0.77,0,0.77,0,3.83,0.77,7.66,0,0,0,0,0.77,0,0.77,0,0
120,0,0,0,0,0,0,0,3.92,1.96,0,0,0,0,0,1.96,0,1.96,0,0
