stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,37,0,0,0,0,0,1,0,1,6,14,0,0,0,0
 24-34,0,0,0,0,0,4.1,0,0,0,6.57,0,0.82,0,0.82,0,0.82,0,0.82,11.49,0,0,0.82,149.4,0.82,0,0,0,0,0,0,0,1.64,26.27,0,1.64,0,0
 36-46,0,0,0,0.81,0,3.22,0,0,0.81,24.17,0,0,0,0.81,0,0,0,0.81,6.45,0,0,0,145.02,0,0,2.42,0,0,0,0,0,0,34.64,0,0.81,0,0
 48-58,0,0,0,0,0,5.16,0,0,0.57,43.04,0,0,0,0,0,0.57,0,0.57,11.48,0,0,2.87,65.41,0.57,0,1.72,0,0,0,0,1.15,0,39.02,0,1.15,0,0.57
 60-70,0,0,0,0.98,0,7.85,0,0,0,58.89,0.98,0,0.98,0,0,0.98,0,0,18.65,0,3.93,0.98,35.33,0,0,0,0,0.98,0,0.98,0,0,11.78,0,0,0,0
 72-82,0,0,0,0.98,3.93,6.87,0,0,0.98,59.88,0,0,2.94,0.98,0,0,0.98,0,27.49,0,0.98,1.96,36.32,0,0,2.94,0.98,0,0,0,0,0,2.94,0,1.96,0.98,0
 84-94,0,0,0,0,6.37,6.37,0,2.12,1.06,38.23,0,0,3.19,1.06,2.12,0,0,0,23.36,0,1.06,5.31,19.12,0,1.06,1.06,1.06,0,0,1.06,0,0,6.37,0,3.19,0,1.06
 96-106,0,0,0,0,1.09,6.56,0,0,2.19,31.69,0,0,2.19,1.09,0,3.28,0,0,17.49,1.09,1.09,2.19,13.11,0,2.19,1.09,0,1.09,0,0,0,0,1.09,0,4.37,0,0
108-118,0,0.77,0,0.77,1.53,3.83,0.77,0.77,0,29.11,1.53,0,2.3,0,0,0.77,0,1.53,15.32,0.77,0,0.77,15.32,0,0.77,3.06,0,0,0,1.53,0,0,2.3,0.77,0.77,0.77,1.53
120,0,0,0,1.96,3.92,3.92,0,0,0,27.44,0,0,5.88,0,0,0,0,0,13.72,0,1.96,0,23.52,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0
