stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,171.31,1858.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0
  5-6,251.32,2353.78,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.5,12.26,0,0,55.17,0,36.78,0,0,0,0,0,0,0,0,0
  7-9,47.32,73.6,0,144.58,0,0,257.61,0,0,0,0,39.43,0,0,0,0,0,0,0,0,0,2003.08,78.86,0,0,933.19,0,2.63,13.14,0,0,0,0,0,0,0,0
 10-12,0,47.2,0,160.5,0,9.44,176.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1412.99,97.56,0,0,695.48,0,3.15,6.29,3.15,31.47,3.15,0,0,0,0,0
 14-21,1,0,1,6,102,14,23,0,0,18,10,0,0,0,0,0,0,39,0,0,18,259,57,2,8,5,0,2,1,94,5,38,135,0,0,2,0
 24-34,0,0,0,4.1,14.78,0,40.22,0.82,0,4.1,0.82,0,0,0,2.46,0.82,0,28.73,0,0,16.42,237.23,1.64,0,4.93,0,0,0.82,0,0,7.39,7.39,49.25,0,0,2.46,0
 36-46,0,0,0,0.81,7.25,0,56.4,0,0.81,4.03,0,0,0,0,0,0,0.81,41.09,0,4.03,8.86,202.22,0.81,0.81,5.64,0,0,0,0,0,1.61,0,25.78,0,0,1.61,0
 48-58,0,0,0,0,1.72,0,61.97,1.72,2.87,10.33,0,0,0.57,0,2.87,0,1.15,43.61,0,9.18,9.75,145.17,0,1.15,5.74,0,0.57,0,0,0,0,0,28.69,0,0.57,1.15,0
 60-70,0,0,0,0,1.96,0,31.41,2.94,0.98,10.8,0,0,0,1.96,1.96,0.98,0,75.58,0.98,8.83,7.85,110.91,0,0.98,7.85,0,0,0,0,0,0,0,13.74,0,6.87,0,4.91
 72-82,0,0,0,0,3.93,0,16.69,0,2.94,16.69,0,0,0.98,0,1.96,0,0,120.74,0,2.94,6.87,65.77,0.98,0.98,7.85,0,0,0.98,0,0,0.98,0,8.83,0,0.98,0,2.94
 84-94,0,0,3.19,0,4.25,0,24.43,1.06,2.12,5.31,0,0,0,0,4.25,0,1.06,88.15,1.06,7.43,2.12,40.36,0,2.12,4.25,0,0,1.06,0,0,0,0,5.31,0,4.25,0,9.56
 96-106,0,0,0,0,1.09,0,13.11,2.19,1.09,2.19,3.28,0,1.09,0,6.56,1.09,0,80.87,0,4.37,2.19,43.71,0,1.09,3.28,0,1.09,0,0,0,1.09,0,1.09,1.09,4.37,0,15.3
108-118,0,0,0.77,0,5.36,0.77,11.49,0.77,0.77,7.66,0.77,0,0,1.53,3.83,1.53,0,53.62,0.77,1.53,0,30.64,0,1.53,6.13,0,0,0.77,0,0,0,0,1.53,0,2.3,0.77,6.13
120,0,0,1.96,0,3.92,1.96,15.68,0,1.96,7.84,0,0,0,1.96,1.96,0,0,66.63,0,0,1.96,39.2,0,1.96,1.96,0,0,0,0,0,1.96,0,0,0,5.88,0,13.72
