stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1,1,0,0,0
 24-34,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,1.64,45.15,0,0.82,0,0,0,0,0,0,9.03,0,0,0
 36-46,0,0.81,0.81,0.81,1.61,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,119.24,0.81,0.81,0,0,0,0,0,0,28.2,0,0,0
 48-58,0,0,0,0,8.03,0.57,0,1.72,0,0.57,0.57,0,0,0,0,1.72,1.15,1.15,145.75,0,0.57,0,0,0.57,0,0,0,26.4,0,0,0
 60-70,0,0,0,0,36.32,0,0,1.96,0,0,0,0,0,0,0,2.94,0,0,259.12,0,0,0.98,0,0,0,0,0,28.46,0,0,0.98
 72-82,0,0,0,0.98,49.08,0,0,6.87,0,0,0,0,0.98,0,0,5.89,0.98,0.98,248.36,0,0.98,0,0,0,0,0,0,28.47,0.98,0,0.98
 84-94,0,0,1.06,0,24.43,0,0,4.25,0,0,0,0,0,0,1.06,5.31,0,0,92.4,0,0,0,0,0,0,0,0,8.5,1.06,1.06,0
 96-106,0,0,0,0,18.58,0,0,3.28,1.09,0,0,2.19,1.09,1.09,1.09,5.46,0,0,93.98,1.09,0,0,0,0,0,0,0,8.74,0,0,0
108-118,0,0,0.77,0.77,21.45,0,0.77,3.06,0,0,0,0,0,0,0,3.83,0,0,102.64,0,2.3,1.53,0,0,0,0.77,0,5.36,0,0,0.77
120,0,0,1.96,1.96,31.36,0,1.96,5.88,0,0,1.96,0,0,0,0,0,0,0,146.98,0,0,0,0,1.96,0,0,0,3.92,0,0,0
